building_id,building_type,standard,env_flag,hvac_flag,dhw_flag,eem4_flag,scenario_tag,EUI_total_kWh_m2,EUI_heating_kWh_m2,EUI_cooling_kWh_m2,EUI_DHW_kWh_m2,EUI_lights_kWh_m2,EUI_equip_kWh_m2,EUI_fans_pumps_kWh_m2,PV_gen_kWh_m2,pv_track,n_severes,n_warnings,idf_path,output_path
RC-MR1,RC-MR1,CAN_MTL,0,0,0,0,EEM_J_DEFAULT,113.6344,21.6226,8.4987,37.7626,5.0929,30.9992,7.7857,0,native,0,1253,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j2_20260531_v1\CAN_MTL\RC-MR1\RC-MR1_EEM_J_DEFAULT_20260531_113053\RC-MR1_EEM_J_DEFAULT_20260531_113053.idf,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j2_20260531_v1\CAN_MTL\RC-MR1\RC-MR1_EEM_J_DEFAULT_20260531_113053\results
RC-MR1,RC-MR1,CAN_MTL,1,0,0,0,EEM_J_ENVELOPE,100.522,7.3181,10.0583,37.3344,5.0929,30.9992,7.8464,74.6133,tier3,0,1347,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j2_20260531_v1\CAN_MTL\RC-MR1\RC-MR1_EEM_J_ENVELOPE_20260531_113102\RC-MR1_EEM_J_ENVELOPE_20260531_113102.idf,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j2_20260531_v1\CAN_MTL\RC-MR1\RC-MR1_EEM_J_ENVELOPE_20260531_113102\results
RC-MR1,RC-MR1,CAN_MTL,0,1,0,0,EEM_J_HVAC_ONLY,99.9977,6.5408,9.5196,37.7752,5.0929,30.9992,8.1974,74.6263,tier3,0,1442,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j2_20260531_v1\CAN_MTL\RC-MR1\RC-MR1_EEM_J_HVAC_ONLY_20260531_113110\RC-MR1_EEM_J_HVAC_ONLY_20260531_113110.idf,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j2_20260531_v1\CAN_MTL\RC-MR1\RC-MR1_EEM_J_HVAC_ONLY_20260531_113110\results
RC-MR1,RC-MR1,CAN_MTL,0,0,1,0,EEM_J_DHW_ONLY,91.41,21.9175,8.3398,15.386,5.0929,30.9992,7.8018,74.6263,tier3,32,2156,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j2_20260531_v1\CAN_MTL\RC-MR1\RC-MR1_EEM_J_DHW_ONLY_20260531_113116\RC-MR1_EEM_J_DHW_ONLY_20260531_113116.idf,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j2_20260531_v1\CAN_MTL\RC-MR1\RC-MR1_EEM_J_DHW_ONLY_20260531_113116\results
RC-MR1,RC-MR1,CAN_MTL,1,1,0,0,EEM_J_ENV_HVAC,96.6525,2.4097,11.1556,37.3453,5.0929,30.9992,7.7772,74.6133,tier3,0,1493,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j2_20260531_v1\CAN_MTL\RC-MR1\RC-MR1_EEM_J_ENV_HVAC_20260531_113117\RC-MR1_EEM_J_ENV_HVAC_20260531_113117.idf,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j2_20260531_v1\CAN_MTL\RC-MR1\RC-MR1_EEM_J_ENV_HVAC_20260531_113117\results
RC-MR1,RC-MR1,CAN_MTL,1,0,1,0,EEM_J_ENV_DHW,78.3511,7.4833,9.8573,15.2015,5.0929,30.9992,7.8442,74.6133,tier3,212,2260,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j2_20260531_v1\CAN_MTL\RC-MR1\RC-MR1_EEM_J_ENV_DHW_20260531_113129\RC-MR1_EEM_J_ENV_DHW_20260531_113129.idf,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j2_20260531_v1\CAN_MTL\RC-MR1\RC-MR1_EEM_J_ENV_DHW_20260531_113129\results
RC-MR1,RC-MR1,CAN_MTL,0,1,1,0,EEM_J_HVAC_DHW,77.5154,6.6007,9.3223,15.3855,5.0929,30.9992,8.2421,74.6263,tier3,16,2342,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j2_20260531_v1\CAN_MTL\RC-MR1\RC-MR1_EEM_J_HVAC_DHW_20260531_113135\RC-MR1_EEM_J_HVAC_DHW_20260531_113135.idf,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j2_20260531_v1\CAN_MTL\RC-MR1\RC-MR1_EEM_J_HVAC_DHW_20260531_113135\results
RC-MR1,RC-MR1,CAN_MTL,1,1,1,0,EEM_J_ENV_HVAC_DHW,74.3183,2.4375,10.9133,15.1978,5.0929,30.9992,7.8049,74.6133,tier3,155,2387,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j2_20260531_v1\CAN_MTL\RC-MR1\RC-MR1_EEM_J_ENV_HVAC_DHW_20260531_113140\RC-MR1_EEM_J_ENV_HVAC_DHW_20260531_113140.idf,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j2_20260531_v1\CAN_MTL\RC-MR1\RC-MR1_EEM_J_ENV_HVAC_DHW_20260531_113140\results
RC-MR1,RC-MR1,CAN_MTL,1,0,0,1,EEM_J_ENVELOPE_EEM4,84.9227,10.2137,7.7104,37.363,2.3442,18.4658,6.953,74.6133,tier3,0,1797,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j2_20260531_v1\CAN_MTL\RC-MR1\RC-MR1_EEM_J_ENVELOPE_EEM4_20260531_113140\RC-MR1_EEM_J_ENVELOPE_EEM4_20260531_113140.idf,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j2_20260531_v1\CAN_MTL\RC-MR1\RC-MR1_EEM_J_ENVELOPE_EEM4_20260531_113140\results
RC-MR1,RC-MR1,CAN_MTL,1,1,0,1,EEM_J_ENV_HVAC_EEM4,78.7087,3.0669,8.4546,37.371,2.3442,18.4658,7.1336,74.6133,tier3,0,1916,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j2_20260531_v1\CAN_MTL\RC-MR1\RC-MR1_EEM_J_ENV_HVAC_EEM4_20260531_113145\RC-MR1_EEM_J_ENV_HVAC_EEM4_20260531_113145.idf,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j2_20260531_v1\CAN_MTL\RC-MR1\RC-MR1_EEM_J_ENV_HVAC_EEM4_20260531_113145\results
