NU,Archetype,Metric,IAL,DEFAULT,EEM1,EEM2,EEM3,EEM4
RC-HR2,HighRise,Htg,41.6,18.4,6.9,3.2,9.6,10.6
RC-HR2,HighRise,Clg,90.3,9.3,12.5,14.6,14.5,10.4
RC-HR2,HighRise,DHW,51.8,51.8,51.8,51.8,7.8,7.9
RC-HR2,HighRise,Ltg,3.9,3.9,3.9,3.9,3.9,1.5
RC-HR2,HighRise,Equip,22.8,19.0,19.0,19.0,19.0,10.9
RC-HR2,HighRise,F+P,0.0,9.9,10.0,10.1,10.2,8.7
RC-HR2,HighRise,PV,14.4,3.3,22.7,22.7,22.7,22.7
RC-MR1,MidRise,EUI,195.9,113.6,100.5,96.7,74.3,56.4
RC-MR1,MidRise,Htg,38.3,21.6,7.3,2.4,2.4,3.1
RC-MR1,MidRise,Clg,81.8,8.5,10.1,11.2,10.9,8.2
RC-MR1,MidRise,DHW,37.8,37.8,37.3,37.3,15.2,15.2
RC-MR1,MidRise,Ltg,3.3,5.1,5.1,5.1,5.1,2.3
RC-MR1,MidRise,Equip,34.7,31.0,31.0,31.0,31.0,18.5
RC-MR1,MidRise,F+P,0.0,7.8,7.8,7.8,7.8,7.2
RC-MR1,MidRise,PV,39.9,0.0,92.4,92.4,92.4,92.4
RC-MR2,MidRise,EUI,200.3,107.0,99.1,92.4,65.7,51.5
RC-MR2,MidRise,Htg,38.2,20.7,11.8,3.5,3.6,3.9
RC-MR2,MidRise,Clg,92.1,8.3,9.5,11.2,10.8,8.0
RC-MR2,MidRise,DHW,43.7,43.6,43.6,43.6,17.2,17.2
RC-MR2,MidRise,Ltg,4.8,4.8,4.8,4.8,4.8,2.0
RC-MR2,MidRise,Equip,21.5,19.3,19.3,19.3,19.3,11.2
RC-MR2,MidRise,F+P,0.0,8.1,7.9,7.8,7.8,7.0
RC-MR2,MidRise,PV,27.7,0.0,66.8,66.8,66.8,66.8
RC-MR3,MidRise,EUI,200.5,107.0,99.0,92.0,65.3,51.1
RC-MR3,MidRise,Htg,38.9,21.1,12.2,3.6,3.6,3.9
RC-MR3,MidRise,Clg,91.5,8.0,9.1,10.8,10.4,7.6
RC-MR3,MidRise,DHW,43.7,43.6,43.6,43.6,17.2,17.2
RC-MR3,MidRise,Ltg,4.8,4.8,4.8,4.8,4.8,2.0
RC-MR3,MidRise,Equip,21.6,19.3,19.3,19.3,19.3,11.2
RC-MR3,MidRise,F+P,0.0,8.0,7.8,7.7,7.7,6.9
RC-MR3,MidRise,PV,27.7,0.0,66.8,66.8,66.8,66.8
