building_id,building_type,standard,env_flag,hvac_flag,dhw_flag,eem4_flag,scenario_tag,EUI_total_kWh_m2,EUI_heating_kWh_m2,EUI_cooling_kWh_m2,EUI_DHW_kWh_m2,EUI_lights_kWh_m2,EUI_equip_kWh_m2,EUI_fans_pumps_kWh_m2,PV_gen_kWh_m2,pv_track,n_severes,n_warnings,idf_path,output_path
RS-I1,RS-I1,CAN_MTL,0,0,0,0,IAL,298.9763,93.805,108.8361,40.2749,8.3191,42.9957,0.7686,109.8061,tier3,69,923,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260608_v2\CAN_MTL\RS-I1\RS-I1_IAL_20260608_105938\RS-I1_IAL_20260608_105938.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260608_v2\CAN_MTL\RS-I1\RS-I1_IAL_20260608_105938\results
RS-S,RS-S,CAN_MTL,0,0,0,0,IAL,253.3312,92.6089,36.2937,37.4617,7.8182,73.5807,1.0516,97.1686,tier3,0,1172,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260608_v2\CAN_MTL\RS-S\RS-S_IAL_20260608_105938\RS-S_IAL_20260608_105938.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260608_v2\CAN_MTL\RS-S\RS-S_IAL_20260608_105938\results
RS-I2,RS-I2,CAN_MTL,0,0,0,0,IAL,276.8583,91.0741,111.8817,31.2047,9.4657,29.5438,0.4224,84.3939,tier3,115,4938,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260608_v2\CAN_MTL\RS-I2\RS-I2_IAL_20260608_105938\RS-I2_IAL_20260608_105938.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260608_v2\CAN_MTL\RS-I2\RS-I2_IAL_20260608_105938\results
RS-I3,RS-I3,CAN_MTL,0,0,0,0,IAL,257.5745,98.9923,61.7647,24.3722,10.3545,57.6382,0.6524,137.0359,tier3,0,720,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260608_v2\CAN_MTL\RS-I3\RS-I3_IAL_20260608_105938\RS-I3_IAL_20260608_105938.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260608_v2\CAN_MTL\RS-I3\RS-I3_IAL_20260608_105938\results
RS-I4,RS-I4,CAN_MTL,0,0,0,0,IAL,274.3325,84.5252,119.4076,32.4883,9.0945,25.5402,0.273,91.2526,tier3,115,4361,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260608_v2\CAN_MTL\RS-I4\RS-I4_IAL_20260608_105938\RS-I4_IAL_20260608_105938.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260608_v2\CAN_MTL\RS-I4\RS-I4_IAL_20260608_105938\results
IC-DC,IC-DC,CAN_MTL,0,0,0,0,IAL,6378.3015,62.3489,3053.9809,10.5106,31.9162,3215.7605,0.4886,163.525,tier3,0,167,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260608_v2\CAN_MTL\IC-DC\IC-DC_IAL_20260608_105938\IC-DC_IAL_20260608_105938.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260608_v2\CAN_MTL\IC-DC\IC-DC_IAL_20260608_105938\results
IC-DE,IC-DE,CAN_MTL,0,0,0,0,IAL,21525.8991,75.8276,10652.1407,13.226,24.4215,10755.9113,0.6597,118.744,tier3,0,191,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260608_v2\CAN_MTL\IC-DE\IC-DE_IAL_20260608_105938\IC-DE_IAL_20260608_105938.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260608_v2\CAN_MTL\IC-DE\IC-DE_IAL_20260608_105938\results
MU-C1,MU-C1,CAN_MTL,0,0,0,0,IAL,282.1131,81.4941,87.8754,37.2826,11.8703,57.7936,0.5027,25.7208,tier3,128,5466,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260608_v2\CAN_MTL\MU-C1\MU-C1_IAL_20260608_105938\MU-C1_IAL_20260608_105938.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260608_v2\CAN_MTL\MU-C1\MU-C1_IAL_20260608_105938\results
MU-C2,MU-C2,CAN_MTL,0,0,0,0,IAL,214.8987,72.6275,54.9786,33.8901,8.0355,39.0386,0.2308,21.6879,tier3,93,3770,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260608_v2\CAN_MTL\MU-C2\MU-C2_IAL_20260608_110024\MU-C2_IAL_20260608_110024.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260608_v2\CAN_MTL\MU-C2\MU-C2_IAL_20260608_110024\results
MU-HC,MU-HC,CAN_MTL,0,0,0,0,IAL,284.3661,70.055,124.5922,45.1048,8.1118,32.1765,0.4719,47.2478,tier3,94,6731,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260608_v2\CAN_MTL\MU-HC\MU-HC_IAL_20260608_110025\MU-HC_IAL_20260608_110025.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260608_v2\CAN_MTL\MU-HC\MU-HC_IAL_20260608_110025\results
MU-HS,MU-HS,CAN_MTL,0,0,0,0,IAL,280.3896,89.116,90.555,41.0505,10.128,44.3614,0.895,81.8724,tier3,69,1166,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260608_v2\CAN_MTL\MU-HS\MU-HS_IAL_20260608_110029\MU-HS_IAL_20260608_110029.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260608_v2\CAN_MTL\MU-HS\MU-HS_IAL_20260608_110029\results
