building_id,building_type,standard,env_flag,hvac_flag,dhw_flag,eem4_flag,scenario_tag,EUI_total_kWh_m2,EUI_heating_kWh_m2,EUI_cooling_kWh_m2,EUI_DHW_kWh_m2,EUI_lights_kWh_m2,EUI_equip_kWh_m2,EUI_fans_pumps_kWh_m2,PV_gen_kWh_m2,pv_track,n_severes,n_warnings,idf_path,output_path
RS-I1,RS-I1,CAN_Z6,0,0,0,0,IAL,283.3532,92.9754,94.1736,40.1444,8.3198,42.9957,0.7686,109.7858,tier3,69,924,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260910_v1\CAN_Z6\RS-I1\RS-I1_IAL_20260910_063945\RS-I1_IAL_20260910_063945.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260910_v1\CAN_Z6\RS-I1\RS-I1_IAL_20260910_063945\results
RS-S,RS-S,CAN_Z6,0,0,0,0,IAL,253.1827,92.3688,37.4391,36.7073,7.8182,73.2828,1.0516,97.4967,tier3,25,1179,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260910_v1\CAN_Z6\RS-S\RS-S_IAL_20260910_063945\RS-S_IAL_20260910_063945.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260910_v1\CAN_Z6\RS-S\RS-S_IAL_20260910_063945\results
RS-I2,RS-I2,CAN_Z6,0,0,0,0,IAL,278.315,92.0302,112.5245,31.1539,9.4657,29.4527,0.4224,84.3939,tier3,115,4954,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260910_v1\CAN_Z6\RS-I2\RS-I2_IAL_20260910_063945\RS-I2_IAL_20260910_063945.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260910_v1\CAN_Z6\RS-I2\RS-I2_IAL_20260910_063945\results
RS-I3,RS-I3,CAN_Z6,0,0,0,0,IAL,253.3216,99.59,57.8394,23.7519,10.3563,57.3324,0.6524,137.6288,tier3,0,724,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260910_v1\CAN_Z6\RS-I3\RS-I3_IAL_20260910_063945\RS-I3_IAL_20260910_063945.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260910_v1\CAN_Z6\RS-I3\RS-I3_IAL_20260910_063945\results
RS-I4,RS-I4,CAN_Z6,0,0,0,0,IAL,276.0665,85.6368,120.2056,32.4253,9.0945,25.4283,0.273,91.2526,tier3,115,4375,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260910_v1\CAN_Z6\RS-I4\RS-I4_IAL_20260910_063945\RS-I4_IAL_20260910_063945.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260910_v1\CAN_Z6\RS-I4\RS-I4_IAL_20260910_063945\results
RC-HR1,RC-HR1,CAN_Z6,0,0,0,0,IAL,213.5188,39.7392,99.0388,48.2073,4.2727,19.1672,0.0227,45.768,tier3,138,3782,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260910_v1\CAN_Z6\RC-HR1\RC-HR1_IAL_20260910_063945\RC-HR1_IAL_20260910_063945.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260910_v1\CAN_Z6\RC-HR1\RC-HR1_IAL_20260910_063945\results
RC-HR2,RC-HR2,CAN_Z6,0,0,0,0,IAL,210.89,43.3411,89.0478,51.8376,3.857,19.0293,0.0409,28.844,tier3,92,2575,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260910_v1\CAN_Z6\RC-HR2\RC-HR2_IAL_20260910_063945\RC-HR2_IAL_20260910_063945.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260910_v1\CAN_Z6\RC-HR2\RC-HR2_IAL_20260910_063945\results
RC-MR1,RC-MR1,CAN_Z6,0,0,0,0,IAL,182.5931,36.6274,70.2153,37.7856,5.0929,30.9992,0.0,74.5989,tier3,92,1061,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260910_v1\CAN_Z6\RC-MR1\RC-MR1_IAL_20260910_063945\RC-MR1_IAL_20260910_063945.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260910_v1\CAN_Z6\RC-MR1\RC-MR1_IAL_20260910_063945\results
RC-MR2,RC-MR2,CAN_Z6,0,0,0,0,IAL,199.6482,38.2784,91.3295,43.6684,4.7934,19.3399,0.0,66.7586,tier3,184,5040,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260910_v1\CAN_Z6\RC-MR2\RC-MR2_IAL_20260910_064022\RC-MR2_IAL_20260910_064022.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260910_v1\CAN_Z6\RC-MR2\RC-MR2_IAL_20260910_064022\results
RC-MR3,RC-MR3,CAN_Z6,0,0,0,0,IAL,200.8767,38.9885,91.8454,43.671,4.7933,19.3398,0.0,66.7586,tier3,276,7268,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260910_v1\CAN_Z6\RC-MR3\RC-MR3_IAL_20260910_064029\RC-MR3_IAL_20260910_064029.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_a1_IAL_20260910_v1\CAN_Z6\RC-MR3\RC-MR3_IAL_20260910_064029\results
