zone,building_id,building_type,standard,env_flag,hvac_flag,dhw_flag,eem4_flag,scenario_tag,EUI_total_kWh_m2,EUI_heating_kWh_m2,EUI_cooling_kWh_m2,EUI_DHW_kWh_m2,EUI_lights_kWh_m2,EUI_equip_kWh_m2,EUI_fans_pumps_kWh_m2,PV_gen_kWh_m2,pv_track,n_severes,n_warnings,idf_path,output_path
Z4,CC-B,CC-B,CAN_Z4,0,0,0,0,EEM_J_DEFAULT,105.2934,14.3816,3.4434,18.297,14.755,33.087,7.3053,3.1562,native,6,2632,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260910_v1\CAN_Z4\CC-B\CC-B_EEM_J_DEFAULT_20260911_002006\CC-B_EEM_J_DEFAULT_20260911_002006.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260910_v1\CAN_Z4\CC-B\CC-B_EEM_J_DEFAULT_20260911_002006\results
Z4,CC-B,CC-B,CAN_Z4,0,0,1,0,EEM_J_DHW_ONLY,91.784,16.9276,3.1986,2.5662,14.7795,33.087,7.2103,26.8529,tier3,10,2797,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260910_v1\CAN_Z4\CC-B\CC-B_EEM_J_DHW_ONLY_20260911_002034\CC-B_EEM_J_DHW_ONLY_20260911_002034.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260910_v1\CAN_Z4\CC-B\CC-B_EEM_J_DHW_ONLY_20260911_002034\results
Z4,CC-B,CC-B,CAN_Z4,0,0,1,1,EEM_J_DHW_ONLY_EEM4,72.7605,19.7906,2.1544,2.5596,6.7643,21.9809,5.6073,26.8529,tier3,11,2885,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260910_v1\CAN_Z4\CC-B\CC-B_EEM_J_DHW_ONLY_EEM4_20260911_002157\CC-B_EEM_J_DHW_ONLY_EEM4_20260911_002157.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260910_v1\CAN_Z4\CC-B\CC-B_EEM_J_DHW_ONLY_EEM4_20260911_002157\results
Z4,CC-B,CC-B,CAN_Z4,0,0,0,1,EEM_J_EEM4_ONLY,86.0514,17.3819,2.1559,18.2998,6.7643,21.9809,5.5674,26.8529,tier3,10,2713,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260910_v1\CAN_Z4\CC-B\CC-B_EEM_J_EEM4_ONLY_20260911_002137\CC-B_EEM_J_EEM4_ONLY_20260911_002137.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260910_v1\CAN_Z4\CC-B\CC-B_EEM_J_EEM4_ONLY_20260911_002137\results
Z4,CC-B,CC-B,CAN_Z4,1,0,0,0,EEM_J_ENVELOPE,101.8072,9.6082,3.859,18.2945,14.7302,33.087,8.2,26.8526,tier3,4,2641,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260910_v1\CAN_Z4\CC-B\CC-B_EEM_J_ENVELOPE_20260911_002013\CC-B_EEM_J_ENVELOPE_20260911_002013.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260910_v1\CAN_Z4\CC-B\CC-B_EEM_J_ENVELOPE_20260911_002013\results
Z4,CC-B,CC-B,CAN_Z4,1,0,0,1,EEM_J_ENVELOPE_EEM4,80.7285,10.6954,2.6424,18.297,6.7044,21.9809,6.4596,26.8526,tier3,15,2716,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260910_v1\CAN_Z4\CC-B\CC-B_EEM_J_ENVELOPE_EEM4_20260911_002143\CC-B_EEM_J_ENVELOPE_EEM4_20260911_002143.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260910_v1\CAN_Z4\CC-B\CC-B_EEM_J_ENVELOPE_EEM4_20260911_002143\results
Z4,CC-B,CC-B,CAN_Z4,1,0,1,0,EEM_J_ENV_DHW,88.5049,12.0107,3.8526,2.5606,14.7302,33.087,8.2357,26.8526,tier3,12,2791,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260910_v1\CAN_Z4\CC-B\CC-B_EEM_J_ENV_DHW_20260911_002050\CC-B_EEM_J_ENV_DHW_20260911_002050.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260910_v1\CAN_Z4\CC-B\CC-B_EEM_J_ENV_DHW_20260911_002050\results
Z4,CC-B,CC-B,CAN_Z4,1,0,1,1,EEM_J_ENV_DHW_EEM4,67.4599,13.1132,2.6404,2.5751,6.7044,21.9809,6.4961,26.8526,tier3,16,2886,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260910_v1\CAN_Z4\CC-B\CC-B_EEM_J_ENV_DHW_EEM4_20260911_002213\CC-B_EEM_J_ENV_DHW_EEM4_20260911_002213.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260910_v1\CAN_Z4\CC-B\CC-B_EEM_J_ENV_DHW_EEM4_20260911_002213\results
Z4,CC-B,CC-B,CAN_Z4,1,1,0,0,EEM_J_ENV_HVAC,93.9938,1.7127,3.6782,18.295,14.7302,33.087,8.4502,26.8526,tier3,7,2687,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260910_v1\CAN_Z4\CC-B\CC-B_EEM_J_ENV_HVAC_20260911_002035\CC-B_EEM_J_ENV_HVAC_20260911_002035.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260910_v1\CAN_Z4\CC-B\CC-B_EEM_J_ENV_HVAC_20260911_002035\results
Z4,CC-B,CC-B,CAN_Z4,1,1,1,0,EEM_J_ENV_HVAC_DHW,80.7184,4.1387,3.6746,2.5625,14.7302,33.087,8.4851,26.8526,tier3,7,2850,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260910_v1\CAN_Z4\CC-B\CC-B_EEM_J_ENV_HVAC_DHW_20260911_002133\CC-B_EEM_J_ENV_HVAC_DHW_20260911_002133.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260910_v1\CAN_Z4\CC-B\CC-B_EEM_J_ENV_HVAC_DHW_20260911_002133\results
