building_id,building_type,standard,env_flag,hvac_flag,dhw_flag,eem4_flag,scenario_tag,EUI_total_kWh_m2,EUI_heating_kWh_m2,EUI_cooling_kWh_m2,EUI_DHW_kWh_m2,EUI_lights_kWh_m2,EUI_equip_kWh_m2,EUI_fans_pumps_kWh_m2,PV_gen_kWh_m2,pv_track,n_severes,n_warnings,idf_path,output_path
RS-I1,RS-I1,CAN_MTL,0,0,0,0,EEM_J_DEFAULT,169.1532,54.3198,9.1176,40.2176,8.2454,42.9957,9.4708,3.5299,native,3,1142,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j3_20260602_v2\CAN_MTL\RS-I1\RS-I1_EEM_J_DEFAULT_20260602_182304\RS-I1_EEM_J_DEFAULT_20260602_182304.idf,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j3_20260602_v2\CAN_MTL\RS-I1\RS-I1_EEM_J_DEFAULT_20260602_182304\results
RS-I1,RS-I1,CAN_MTL,1,0,0,0,EEM_J_ENVELOPE,148.5166,33.8352,9.6093,39.9682,8.2143,42.9957,9.0462,109.8016,tier3,8,1149,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j3_20260602_v2\CAN_MTL\RS-I1\RS-I1_EEM_J_ENVELOPE_20260602_182304\RS-I1_EEM_J_ENVELOPE_20260602_182304.idf,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j3_20260602_v2\CAN_MTL\RS-I1\RS-I1_EEM_J_ENVELOPE_20260602_182304\results
RS-I1,RS-I1,CAN_MTL,0,1,0,0,EEM_J_HVAC_ONLY,128.9327,12.5005,9.5954,40.2641,8.3191,42.9957,10.543,109.8061,tier3,3,1272,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j3_20260602_v2\CAN_MTL\RS-I1\RS-I1_EEM_J_HVAC_ONLY_20260602_182304\RS-I1_EEM_J_HVAC_ONLY_20260602_182304.idf,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j3_20260602_v2\CAN_MTL\RS-I1\RS-I1_EEM_J_HVAC_ONLY_20260602_182304\results
RS-I1,RS-I1,CAN_MTL,0,0,1,0,EEM_J_DHW_ONLY,145.544,57.8539,8.7859,13.3897,8.3191,42.9957,9.3964,109.8061,tier3,9,1865,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j3_20260602_v2\CAN_MTL\RS-I1\RS-I1_EEM_J_DHW_ONLY_20260602_182304\RS-I1_EEM_J_DHW_ONLY_20260602_182304.idf,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j3_20260602_v2\CAN_MTL\RS-I1\RS-I1_EEM_J_DHW_ONLY_20260602_182304\results
RS-I1,RS-I1,CAN_MTL,1,1,0,0,EEM_J_ENV_HVAC,124.6578,8.5062,10.4284,40.0112,8.2143,42.9957,9.7353,109.8016,tier3,4,1267,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j3_20260602_v2\CAN_MTL\RS-I1\RS-I1_EEM_J_ENV_HVAC_20260602_182304\RS-I1_EEM_J_ENV_HVAC_20260602_182304.idf,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j3_20260602_v2\CAN_MTL\RS-I1\RS-I1_EEM_J_ENV_HVAC_20260602_182304\results
RS-I1,RS-I1,CAN_MTL,1,0,1,0,EEM_J_ENV_DHW,124.3248,36.431,9.4567,13.2937,8.2143,42.9957,9.0857,109.8016,tier3,172,1879,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j3_20260602_v2\CAN_MTL\RS-I1\RS-I1_EEM_J_ENV_DHW_20260602_182304\RS-I1_EEM_J_ENV_DHW_20260602_182304.idf,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j3_20260602_v2\CAN_MTL\RS-I1\RS-I1_EEM_J_ENV_DHW_20260602_182304\results
RS-I1,RS-I1,CAN_MTL,0,1,1,0,EEM_J_HVAC_DHW,104.5175,15.0404,9.4443,13.3881,8.3191,42.9957,10.6149,109.8061,tier3,21,1992,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j3_20260602_v2\CAN_MTL\RS-I1\RS-I1_EEM_J_HVAC_DHW_20260602_182304\RS-I1_EEM_J_HVAC_DHW_20260602_182304.idf,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j3_20260602_v2\CAN_MTL\RS-I1\RS-I1_EEM_J_HVAC_DHW_20260602_182304\results
RS-I1,RS-I1,CAN_MTL,1,1,1,0,EEM_J_ENV_HVAC_DHW,100.3266,11.0163,10.2449,13.2969,8.2143,42.9957,9.7916,109.8016,tier3,318,1987,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j3_20260602_v2\CAN_MTL\RS-I1\RS-I1_EEM_J_ENV_HVAC_DHW_20260602_182304\RS-I1_EEM_J_ENV_HVAC_DHW_20260602_182304.idf,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j3_20260602_v2\CAN_MTL\RS-I1\RS-I1_EEM_J_ENV_HVAC_DHW_20260602_182304\results
RS-I1,RS-I1,CAN_MTL,1,0,0,1,EEM_J_ENVELOPE_EEM4,134.6046,37.5748,7.437,39.9922,3.5998,32.7712,7.9709,109.8016,tier3,2,1511,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j3_20260602_v2\CAN_MTL\RS-I1\RS-I1_EEM_J_ENVELOPE_EEM4_20260602_182312\RS-I1_EEM_J_ENVELOPE_EEM4_20260602_182312.idf,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j3_20260602_v2\CAN_MTL\RS-I1\RS-I1_EEM_J_ENVELOPE_EEM4_20260602_182312\results
RS-I1,RS-I1,CAN_MTL,1,1,0,1,EEM_J_ENV_HVAC_EEM4,107.6865,9.3243,7.958,40.0337,3.5998,32.7712,8.8241,109.8016,tier3,7,1595,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j3_20260602_v2\CAN_MTL\RS-I1\RS-I1_EEM_J_ENV_HVAC_EEM4_20260602_182346\RS-I1_EEM_J_ENV_HVAC_EEM4_20260602_182346.idf,c:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j3_20260602_v2\CAN_MTL\RS-I1\RS-I1_EEM_J_ENV_HVAC_EEM4_20260602_182346\results
