NU,Archetype,EEM_Level,EUI,Htg,Clg,DHW,Ltg,Equip,F+P,PV
MU-L,MU-L,EEM4,80.0,13.5,7.4,14.4,3.1,28.9,8.0,77.3
MU-S1,MU-S1,DEFAULT,193.0,58.4,9.4,43.5,18.1,40.7,9.9,2.8
MU-S1,MU-S1,EEM1,181.9,46.2,10.9,43.5,18.1,40.7,9.6,73.9
MU-S1,MU-S1,EEM2,150.5,14.0,10.9,43.5,18.1,40.7,10.4,73.9
MU-S1,MU-S1,EEM3,122.4,17.6,10.7,12.0,18.1,40.7,10.4,73.9
MU-S1,MU-S1,EEM4,100.2,17.6,7.2,12.0,8.4,32.5,9.6,73.9
MU-S2,MU-S2,DEFAULT,186.6,50.8,9.9,44.2,21.5,32.5,10.9,0.9
MU-S2,MU-S2,EEM1,177.2,40.6,11.5,44.1,21.5,32.5,10.0,100.2
MU-S2,MU-S2,EEM2,148.0,10.5,11.6,44.2,21.5,32.5,10.7,100.2
MU-S2,MU-S2,EEM3,121.4,13.1,11.4,15.2,21.5,32.5,10.8,100.2
MU-S2,MU-S2,EEM4,97.9,13.7,7.4,15.2,9.9,24.6,10.3,100.2
MU-U1,MU-U1,DEFAULT,119.8,28.3,5.2,28.3,7.6,35.9,8.6,2.3
MU-U1,MU-U1,EEM1,99.4,7.1,6.6,28.3,7.6,35.9,8.1,20.5
MU-U1,MU-U1,EEM2,95.2,1.8,7.3,28.3,7.6,35.9,8.3,20.5
MU-U1,MU-U1,EEM3,74.9,5.8,7.3,3.9,7.6,35.9,8.4,20.5
MU-U1,MU-U1,EEM4,49.2,7.3,3.9,3.9,3.3,18.4,6.5,20.5
MU-W,MU-W,DEFAULT,144.6,55.5,5.7,31.3,6.4,33.6,7.2,2.6
MU-W,MU-W,EEM1,129.7,41.4,5.8,31.3,6.5,33.6,6.2,78.1
MU-W,MU-W,EEM2,103.6,14.1,6.5,31.4,6.5,33.6,6.7,78.1
MU-W,MU-W,EEM3,83.3,15.9,6.3,9.4,6.5,33.6,6.8,78.1
MU-W,MU-W,EEM4,73.8,17.0,4.9,9.4,3.1,28.5,6.3,78.1
MU-W2,MU-W2,DEFAULT,127.5,67.2,2.5,13.0,7.7,27.1,4.7,9.6
MU-W2,MU-W2,EEM1,110.5,51.8,1.8,13.0,8.0,27.1,3.5,118.5
MU-W2,MU-W2,EEM2,83.2,24.0,1.8,13.0,8.0,27.1,4.1,118.5
MU-W2,MU-W2,EEM3,73.1,25.9,1.8,1.1,8.0,27.1,4.1,118.5
MU-W2,MU-W2,EEM4,67.2,27.9,1.4,1.1,3.9,24.0,3.8,118.5
CC-B,CC-B,DEFAULT,119.3,24.5,5.2,18.3,14.7,34.1,8.0,3.4
CC-B,CC-B,EEM1,113.2,16.8,6.1,18.3,14.7,34.1,8.5,30.5
CC-B,CC-B,EEM2,100.0,3.5,5.8,18.3,14.7,34.1,9.1,30.5
CC-B,CC-B,EEM3,86.8,6.0,5.8,2.6,14.7,34.1,9.1,30.5
CC-B,CC-B,EEM4,64.2,6.3,4.3,2.6,6.7,22.7,7.1,30.5
CC-S1,CC-S1,DEFAULT,255.0,87.7,9.1,25.6,36.3,56.3,11.6,4.8
CC-S1,CC-S1,EEM1,232.8,62.3,12.8,25.6,36.3,56.3,11.0,128.1
CC-S1,CC-S1,EEM2,189.9,20.2,10.9,25.7,36.3,56.3,12.1,128.1
CC-S1,CC-S1,EEM3,172.3,24.7,10.9,3.5,36.3,56.3,12.2,128.1
CC-S1,CC-S1,EEM4,138.8,26.8,6.5,3.5,16.9,45.8,10.9,128.1
CC-S2,CC-S2,DEFAULT,342.9,104.4,11.3,25.5,63.5,67.6,16.6,3.1
CC-S2,CC-S2,EEM1,315.6,71.3,18.8,25.5,63.5,67.6,14.7,185.5
CC-S2,CC-S2,EEM2,264.2,22.3,14.9,25.6,63.5,67.6,16.2,185.5
CC-S2,CC-S2,EEM3,245.3,26.3,14.9,2.5,63.5,67.6,16.2,185.5
CC-S2,CC-S2,EEM4,196.0,27.6,7.6,2.6,29.5,59.5,15.1,185.5
CC-E1,CC-E1,DEFAULT,95.1,16.9,4.6,12.4,16.4,28.8,7.2,1.7
CC-E1,CC-E1,EEM1,89.0,10.5,4.5,12.4,16.4,28.8,7.6,28.0
CC-E1,CC-E1,EEM2,80.9,2.2,4.4,12.4,16.4,28.8,7.9,28.0
CC-E1,CC-E1,EEM3,71.3,3.3,4.4,1.7,16.4,28.8,7.9,28.0
CC-E1,CC-E1,EEM4,48.7,3.6,3.3,1.7,8.3,17.4,5.7,28.0
CC-E2,CC-E2,DEFAULT,299.2,173.4,13.6,20.9,23.0,32.6,28.5,1.0
CC-E2,CC-E2,EEM1,279.2,154.4,13.0,20.9,22.9,32.6,28.1,51.2
CC-E2,CC-E2,EEM2,144.1,16.3,13.0,20.9,22.9,32.6,31.1,51.2
CC-E2,CC-E2,EEM3,128.8,18.4,13.0,3.5,22.9,32.6,31.2,51.2
CC-E2,CC-E2,EEM4,106.4,17.9,11.4,3.5,12.8,23.7,29.9,51.2
CC-E3,CC-E3,DEFAULT,284.7,155.9,14.6,23.3,21.7,34.5,27.6,0.7
CC-E3,CC-E3,EEM1,269.0,141.0,14.1,23.3,21.6,34.5,27.3,54.4
CC-E3,CC-E3,EEM2,143.4,12.4,14.3,23.3,21.6,34.5,29.9,54.4
CC-E3,CC-E3,EEM3,126.6,13.8,14.3,5.1,21.6,34.5,30.0,54.4
CC-E3,CC-E3,EEM4,106.3,13.4,12.6,5.1,12.0,27.0,28.8,54.4
CC-FD1,CC-FD1,DEFAULT,125.0,28.1,6.7,29.2,12.7,31.0,11.4,0.2
