NU,Archetype,EEM_Level,EUI,Htg,Clg,DHW,Ltg,Equip,F+P,PV
CC-B,CC-B,DEFAULT,113.2,18.7,5.1,18.3,14.7,34.1,7.8,3.5
CC-B,CC-B,EEM1,108.6,12.3,6.2,18.3,14.7,34.1,8.6,30.8
CC-B,CC-B,EEM2,98.8,2.5,5.8,18.3,14.7,34.1,8.9,30.8
CC-B,CC-B,EEM3,85.7,4.9,5.8,2.8,14.7,34.1,9.0,30.8
CC-B,CC-B,EEM4,63.1,5.1,4.3,2.8,6.7,22.7,7.0,30.8
CC-E1,CC-E1,DEFAULT,89.9,12.2,4.5,12.4,16.4,28.8,6.9,1.7
CC-E1,CC-E1,EEM1,86.4,7.1,4.7,12.4,16.4,28.8,8.2,27.9
CC-E1,CC-E1,EEM2,81.2,1.7,4.7,12.4,16.4,28.8,8.5,27.9
CC-E1,CC-E1,EEM3,71.6,2.8,4.7,1.8,16.4,28.8,8.5,27.9
CC-E1,CC-E1,EEM4,48.1,2.9,3.4,1.8,8.3,17.4,5.7,27.9
CC-E2,CC-E2,DEFAULT,286.0,160.9,13.3,20.9,22.8,32.6,28.3,1.1
CC-E2,CC-E2,EEM1,276.4,150.8,13.3,20.9,22.9,32.6,28.6,51.9
CC-E2,CC-E2,EEM2,142.9,14.4,13.4,20.9,22.9,32.6,31.5,51.9
CC-E2,CC-E2,EEM3,127.9,16.5,13.4,3.7,22.9,32.6,31.7,51.9
CC-E2,CC-E2,EEM4,104.6,15.9,11.7,3.7,12.8,23.7,29.8,51.9
CC-E3,CC-E3,DEFAULT,274.7,146.9,14.3,23.3,21.6,34.5,27.3,0.7
CC-E3,CC-E3,EEM1,265.9,137.6,14.3,23.2,21.6,34.5,27.6,55.0
CC-E3,CC-E3,EEM2,142.1,11.0,14.7,23.2,21.6,34.5,30.1,55.0
CC-E3,CC-E3,EEM3,125.4,12.3,14.6,5.2,21.6,34.5,30.1,55.0
CC-E3,CC-E3,EEM4,104.6,11.8,12.8,5.3,12.0,27.0,28.7,55.0
CC-FD1,CC-FD1,DEFAULT,116.9,22.4,6.1,29.2,12.1,31.0,10.2,0.2
CC-FD1,CC-FD1,EEM1,107.9,9.6,7.7,29.2,12.3,31.0,12.5,8.9
CC-FD1,CC-FD1,EEM2,100.5,1.3,7.7,29.2,12.3,31.0,13.5,8.9
CC-FD1,CC-FD1,EEM3,81.0,1.7,7.7,9.2,12.3,31.0,13.5,8.9
