NU,Archetype,EEM_Level,EUI,Htg,Clg,DHW,Ltg,Equip,F+P,PV
CC-B,CC-B,DEFAULT,106.7,14.7,3.3,18.3,14.8,34.1,7.6,3.2
CC-B,CC-B,EEM1,103.5,9.7,4.3,18.3,14.7,34.1,8.4,26.9
CC-B,CC-B,EEM2,95.5,1.7,4.0,18.3,14.7,34.1,8.6,26.9
CC-B,CC-B,EEM3,82.2,4.1,4.0,2.5,14.7,34.1,8.7,26.9
CC-B,CC-B,EEM4,60.1,4.5,2.9,2.6,6.7,22.7,6.8,26.9
CC-E1,CC-E1,DEFAULT,84.0,8.8,2.9,12.4,16.5,28.8,6.6,1.6
CC-E1,CC-E1,EEM1,82.2,5.4,3.2,12.4,16.4,28.8,7.9,25.4
CC-E1,CC-E1,EEM2,78.3,1.3,3.2,12.4,16.4,28.8,8.1,25.4
CC-E1,CC-E1,EEM3,68.6,2.4,3.1,1.7,16.4,28.8,8.1,25.4
CC-E1,CC-E1,EEM4,45.6,2.5,2.3,1.7,8.3,17.4,5.4,25.4
CC-E2,CC-E2,DEFAULT,275.0,156.0,8.3,20.9,22.9,32.6,28.0,0.9
CC-E2,CC-E2,EEM1,268.0,148.2,8.4,20.9,23.0,32.6,28.4,45.7
CC-E2,CC-E2,EEM2,135.3,12.6,8.5,20.9,23.0,32.6,31.2,45.7
CC-E2,CC-E2,EEM3,119.9,14.7,8.5,3.5,23.0,32.6,31.2,45.7
CC-E2,CC-E2,EEM4,97.2,14.0,6.9,3.5,12.8,23.7,29.7,45.7
CC-E3,CC-E3,DEFAULT,263.7,142.1,9.6,23.3,21.6,34.5,27.0,0.6
CC-E3,CC-E3,EEM1,255.5,133.2,9.7,23.2,21.7,34.5,27.4,48.8
CC-E3,CC-E3,EEM2,134.9,9.8,10.0,23.2,21.7,34.5,29.9,48.8
CC-E3,CC-E3,EEM3,117.9,11.1,10.0,5.1,21.7,34.5,29.9,48.8
CC-E3,CC-E3,EEM4,97.6,10.6,8.5,5.1,12.1,27.0,28.5,48.8
CC-FD1,CC-FD1,DEFAULT,108.4,16.9,4.1,29.2,12.3,31.0,9.3,0.2
CC-FD1,CC-FD1,EEM1,104.4,9.1,5.5,29.2,12.5,31.0,12.0,8.0
CC-FD1,CC-FD1,EEM2,97.0,1.0,5.4,29.2,12.5,31.0,12.7,8.0
CC-FD1,CC-FD1,EEM3,77.2,1.5,5.4,8.9,12.5,31.0,12.7,8.0
CC-FD1,CC-FD1,EEM4,56.7,1.7,4.3,8.9,6.2,19.6,10.6,8.0
CC-FD2,CC-FD2,DEFAULT,103.4,12.8,4.2,22.9,13.2,33.4,7.7,1.1
CC-FD2,CC-FD2,EEM1,101.3,7.2,5.2,22.9,13.3,33.4,10.2,14.0
CC-FD2,CC-FD2,EEM2,95.9,1.5,5.1,22.9,13.3,33.4,10.6,14.0
CC-FD2,CC-FD2,EEM3,80.3,2.5,5.1,6.4,13.3,33.4,10.6,14.0
CC-FD2,CC-FD2,EEM4,58.0,2.8,3.8,6.4,6.3,21.4,8.1,14.0
CC-FD3,CC-FD3,DEFAULT,115.3,17.1,4.8,29.5,13.4,34.8,8.7,0.3
CC-FD3,CC-FD3,EEM1,110.0,8.7,6.2,29.5,13.6,34.8,10.2,12.0
CC-FD3,CC-FD3,EEM2,103.0,1.3,6.2,29.5,13.6,34.8,10.7,12.0
CC-FD3,CC-FD3,EEM3,83.3,1.7,6.2,9.3,13.6,34.8,10.7,12.0
CC-FD3,CC-FD3,EEM4,61.7,2.0,4.7,9.3,6.8,23.1,8.5,12.0
CC-S1,CC-S1,DEFAULT,216.4,52.2,6.4,25.6,36.4,56.3,11.1,4.4
CC-S1,CC-S1,EEM1,202.6,34.3,10.5,25.6,36.3,56.3,11.0,116.5
CC-S1,CC-S1,EEM2,177.3,10.4,8.7,25.6,36.3,56.3,11.5,116.5
CC-S1,CC-S1,EEM3,159.5,14.7,8.7,3.4,36.3,56.3,11.6,116.5
CC-S1,CC-S1,EEM4,126.2,16.5,4.9,3.5,16.9,45.8,10.2,116.5
CC-S2,CC-S2,DEFAULT,298.9,63.3,8.9,25.5,63.6,67.6,16.0,2.9
CC-S2,CC-S2,EEM1,282.7,40.1,17.1,25.5,63.5,67.6,14.6,168.5
CC-S2,CC-S2,EEM2,251.2,11.7,13.3,25.5,63.5,67.6,15.3,168.5
CC-S2,CC-S2,EEM3,232.0,15.7,13.3,2.2,63.5,67.6,15.3,168.5
CC-S2,CC-S2,EEM4,183.5,17.4,6.4,2.3,29.5,59.5,14.2,168.5
IC-DC,IC-DC,DEFAULT,3690.4,22.9,464.4,10.5,31.8,2714.1,328.4,3.8
IC-DC,IC-DC,EEM1,3692.7,15.7,467.1,10.5,31.9,2714.2,332.8,145.6
IC-DC,IC-DC,EEM2,3682.5,5.2,467.3,10.5,31.9,2714.2,333.1,145.6
IC-DC,IC-DC,EEM3,3674.3,6.7,467.3,0.7,31.9,2714.2,333.1,145.6
IC-DC,IC-DC,EEM4,3668.9,7.5,466.7,0.7,29.2,2711.6,332.6,145.6
IC-DE,IC-DE,DEFAULT,12038.1,36.5,1438.6,13.2,24.4,9035.8,1109.7,5.7
IC-DE,IC-DE,EEM1,12030.7,25.1,1439.2,13.2,24.4,9035.6,1112.2,104.5
IC-DE,IC-DE,EEM2,12013.8,7.9,1439.2,13.2,24.4,9035.5,1112.6,104.5
IC-DE,IC-DE,EEM3,12003.9,10.0,1439.2,1.1,24.4,9035.6,1112.6,104.5
IC-DE,IC-DE,EEM4,11993.8,10.7,1438.9,1.1,21.2,9029.0,1112.0,104.5
MU-C1,MU-C1,DEFAULT,171.7,29.1,7.1,41.0,11.9,57.8,17.4,3.1
MU-C1,MU-C1,EEM1,163.1,16.8,10.1,41.0,11.9,57.8,18.1,22.7
MU-C1,MU-C1,EEM2,151.1,3.9,9.9,41.0,11.9,57.8,19.2,22.7
MU-C1,MU-C1,EEM3,121.8,8.8,9.8,6.8,11.9,57.8,19.3,22.7
MU-C1,MU-C1,EEM4,97.5,9.3,6.3,6.9,5.5,44.7,17.3,22.7
MU-C2,MU-C2,DEFAULT,114.0,15.5,3.0,33.9,8.0,39.0,7.6,2.3
MU-C2,MU-C2,EEM1,108.7,6.9,5.5,33.9,8.0,39.0,8.4,19.6
MU-C2,MU-C2,EEM2,103.7,1.4,5.8,33.9,8.0,39.0,8.6,19.6
MU-C2,MU-C2,EEM3,79.5,6.1,5.8,4.9,8.0,39.0,8.7,19.6
MU-C2,MU-C2,EEM4,54.0,6.5,2.4,5.0,3.6,23.2,6.5,19.6
MU-HC,MU-HC,DEFAULT,137.8,32.5,7.1,45.1,8.1,32.2,8.7,3.8
MU-HC,MU-HC,EEM1,133.2,23.8,9.9,45.1,8.1,32.2,10.0,42.4
MU-HC,MU-HC,EEM2,115.1,4.7,10.8,45.1,8.1,32.2,10.2,42.4
MU-HC,MU-HC,EEM3,83.2,9.5,10.7,8.4,8.1,32.2,10.2,42.4
MU-HC,MU-HC,EEM4,67.8,10.0,7.8,8.3,3.8,24.8,9.0,42.4
MU-HS,MU-HS,DEFAULT,167.0,48.6,8.5,41.0,10.1,44.4,9.6,1.7
MU-HS,MU-HS,EEM1,152.3,32.5,10.1,40.7,10.1,44.4,9.9,75.7
MU-HS,MU-HS,EEM2,126.4,5.4,10.9,40.7,10.1,44.4,10.2,75.7
MU-HS,MU-HS,EEM3,100.3,7.8,10.7,12.4,10.1,44.4,10.3,75.7
MU-HS,MU-HS,EEM4,84.6,8.4,8.4,12.3,4.9,36.0,9.8,75.7
MU-L,MU-L,DEFAULT,133.3,25.4,6.3,43.7,7.4,37.3,8.5,0.0
MU-L,MU-L,EEM1,123.5,13.4,8.3,43.6,7.4,37.3,8.8,71.5
MU-L,MU-L,EEM2,116.3,4.8,9.9,43.6,7.4,37.3,8.5,71.5
MU-L,MU-L,EEM3,88.2,6.3,9.6,14.3,7.4,37.3,8.5,71.5
MU-L,MU-L,EEM4,72.2,7.1,6.7,14.2,3.1,28.9,7.4,71.5
MU-S1,MU-S1,DEFAULT,167.1,35.0,7.3,43.5,18.1,40.7,9.4,2.5
MU-S1,MU-S1,EEM1,160.5,25.3,10.1,43.4,18.1,40.7,9.8,69.6
MU-S1,MU-S1,EEM2,142.6,7.0,10.3,43.4,18.1,40.7,10.0,69.6
MU-S1,MU-S1,EEM3,114.3,10.5,10.0,11.9,18.1,40.7,10.1,69.6
MU-S1,MU-S1,EEM4,91.9,10.9,6.3,11.9,8.4,32.5,8.8,69.6
MU-S2,MU-S2,DEFAULT,164.1,30.5,8.2,44.1,21.6,32.5,10.4,0.8
MU-S2,MU-S2,EEM1,158.9,22.7,11.1,44.1,21.5,32.5,10.1,91.6
MU-S2,MU-S2,EEM2,142.9,6.1,11.4,44.1,21.5,32.5,10.3,91.6
MU-S2,MU-S2,EEM3,116.0,8.6,11.1,15.0,21.5,32.5,10.4,91.6
MU-S2,MU-S2,EEM4,91.7,8.9,6.9,15.0,9.9,24.6,9.5,91.6
MU-U1,MU-U1,DEFAULT,98.6,11.3,2.8,28.3,7.6,35.9,7.2,2.1
MU-U1,MU-U1,EEM1,93.8,2.9,5.6,28.3,7.6,35.9,8.0,18.5
MU-U1,MU-U1,EEM2,92.3,0.7,6.1,28.3,7.6,35.9,8.1,18.5
