NU,Archetype,EEM_Level,EUI,Htg,Clg,DHW,Ltg,Equip,F+P,PV
MU-U1,MU-U1,EEM3,71.8,4.6,6.1,3.8,7.6,35.9,8.2,18.5
MU-U1,MU-U1,EEM4,44.3,5.0,2.2,3.9,3.3,18.4,5.7,18.5
MU-W,MU-W,DEFAULT,118.3,31.6,4.2,31.3,6.5,33.6,6.3,2.4
MU-W,MU-W,EEM1,108.7,21.0,5.1,31.3,6.6,33.6,6.2,72.9
MU-W,MU-W,EEM2,94.8,6.2,6.0,31.3,6.6,33.6,6.2,72.9
MU-W,MU-W,EEM3,74.4,7.9,5.9,9.3,6.6,33.6,6.3,72.9
MU-W,MU-W,EEM4,64.1,8.5,4.2,9.3,3.1,28.5,5.6,72.9
MU-W2,MU-W2,DEFAULT,95.6,37.0,1.6,13.0,7.7,27.1,4.0,8.8
MU-W2,MU-W2,EEM1,83.1,24.9,1.3,13.0,8.1,27.1,3.5,103.7
MU-W2,MU-W2,EEM2,66.8,8.2,1.4,13.0,8.1,27.1,3.7,103.7
MU-W2,MU-W2,EEM3,56.7,10.0,1.5,1.1,8.1,27.1,3.8,103.7
MU-W2,MU-W2,EEM4,49.7,11.3,1.0,1.1,3.9,24.0,3.1,103.7
RC-D,RC-D,DEFAULT,109.9,26.0,4.7,21.7,4.7,46.6,5.4,0.0
RC-D,RC-D,EEM1,92.8,8.5,5.8,21.1,4.7,46.6,5.3,93.8
RC-D,RC-D,EEM2,85.7,2.0,4.9,21.1,4.7,46.6,5.5,93.8
RC-D,RC-D,EEM3,73.7,4.6,5.0,6.3,4.7,46.6,5.7,93.8
RC-D,RC-D,EEM4,53.3,5.8,3.8,6.3,2.6,28.3,5.6,93.8
RC-HR1,RC-HR1,DEFAULT,97.6,8.1,6.7,48.2,4.3,19.2,8.1,1.7
RC-HR1,RC-HR1,EEM1,96.2,2.6,10.1,48.1,4.3,19.2,8.9,41.9
RC-HR1,RC-HR1,EEM2,96.1,0.9,11.8,48.1,4.3,19.2,8.6,41.9
RC-HR1,RC-HR1,EEM3,63.5,4.3,11.6,12.3,4.3,19.2,8.7,41.9
RC-HR1,RC-HR1,EEM4,47.6,4.6,7.7,12.2,1.7,11.0,7.3,41.9
RC-HR2,RC-HR2,DEFAULT,102.7,9.2,6.4,51.8,3.9,19.0,8.5,3.1
RC-HR2,RC-HR2,EEM1,102.3,3.6,10.6,51.8,3.9,19.0,9.5,26.0
RC-HR2,RC-HR2,EEM2,102.0,1.6,12.3,51.8,3.9,19.0,9.6,26.0
RC-HR2,RC-HR2,EEM3,64.6,7.7,12.2,8.2,3.9,19.0,9.7,26.0
RC-HR2,RC-HR2,EEM4,48.2,8.2,7.8,8.2,1.5,10.9,7.9,26.0
RC-ML,RC-ML,DEFAULT,112.1,19.9,4.8,23.9,5.2,51.7,5.7,0.0
RC-ML,RC-ML,EEM1,97.9,5.0,6.2,23.1,5.2,51.7,5.7,86.0
RC-ML,RC-ML,EEM2,93.3,1.2,5.3,23.1,5.2,51.7,5.9,86.0
RC-ML,RC-ML,EEM3,80.1,2.5,5.3,8.5,5.2,51.7,6.0,86.0
RC-ML,RC-ML,EEM4,56.9,3.6,3.7,8.5,2.9,31.5,5.8,86.0
RC-MR1,RC-MR1,DEFAULT,99.3,9.1,7.3,37.7,5.1,31.0,7.2,0.0
RC-MR1,RC-MR1,EEM1,95.2,2.2,10.0,37.2,5.1,31.0,7.8,68.8
RC-MR1,RC-MR1,EEM2,94.7,0.8,11.1,37.2,5.1,31.0,7.6,68.8
RC-MR1,RC-MR1,EEM3,72.2,0.8,10.9,15.0,5.1,31.0,7.6,68.8
RC-MR1,RC-MR1,EEM4,53.2,0.9,7.9,15.0,2.4,18.5,6.8,68.8
RC-MR2,RC-MR2,DEFAULT,93.1,9.0,6.7,43.6,4.8,19.3,7.5,0.0
RC-MR2,RC-MR2,EEM1,90.3,3.2,9.1,43.5,4.8,19.3,8.1,61.7
RC-MR2,RC-MR2,EEM2,89.6,1.2,11.1,43.5,4.8,19.3,7.5,61.7
RC-MR2,RC-MR2,EEM3,62.8,1.2,10.7,17.1,4.8,19.3,7.5,61.7
RC-MR2,RC-MR2,EEM4,47.9,1.3,7.5,17.1,2.0,11.2,6.5,61.7
RC-MR3,RC-MR3,DEFAULT,92.8,9.3,6.3,43.6,4.8,19.3,7.3,0.0
RC-MR3,RC-MR3,EEM1,89.9,3.4,8.8,43.5,4.8,19.3,7.9,61.7
RC-MR3,RC-MR3,EEM2,89.1,1.2,10.6,43.5,4.8,19.3,7.4,61.7
RC-MR3,RC-MR3,EEM3,62.3,1.2,10.2,17.1,4.8,19.3,7.4,61.7
RC-MR3,RC-MR3,EEM4,47.4,1.3,7.1,17.1,2.0,11.2,6.4,61.7
RC-R,RC-R,DEFAULT,109.5,25.3,5.0,21.7,4.7,46.6,5.5,0.0
RC-R,RC-R,EEM1,92.7,8.0,6.1,21.1,4.7,46.6,5.4,83.6
RC-R,RC-R,EEM2,85.9,1.9,5.3,21.1,4.7,46.6,5.6,83.6
RC-R,RC-R,EEM3,74.0,4.5,5.3,6.3,4.7,46.6,5.8,83.6
RC-R,RC-R,EEM4,53.5,5.7,4.1,6.3,2.6,28.3,5.7,83.6
RC-T,RC-T,DEFAULT,114.5,13.5,4.8,26.3,5.8,57.1,6.0,0.0
RC-T,RC-T,EEM1,103.2,1.3,6.6,25.3,5.8,57.1,6.0,78.1
RC-T,RC-T,EEM2,101.4,0.3,5.6,25.3,5.8,57.1,6.2,78.1
RC-T,RC-T,EEM3,86.9,0.3,5.6,10.7,5.8,57.1,6.2,78.1
RC-T,RC-T,EEM4,60.6,1.2,3.7,10.8,3.2,34.8,6.0,78.1
RS-I1,RS-I1,DEFAULT,144.2,32.5,7.0,40.2,8.3,43.0,8.8,3.3
RS-I1,RS-I1,EEM1,131.8,18.5,8.6,39.9,8.3,43.0,9.0,100.6
RS-I1,RS-I1,EEM2,119.4,4.8,9.5,39.9,8.3,43.0,9.3,100.6
RS-I1,RS-I1,EEM3,94.8,7.2,9.3,13.2,8.3,43.0,9.4,100.6
RS-I1,RS-I1,EEM4,77.2,7.5,6.7,13.2,3.6,32.8,8.3,100.6
RS-I2,RS-I2,DEFAULT,116.2,28.1,5.7,31.1,9.5,29.5,7.6,5.7
RS-I2,RS-I2,EEM1,105.0,16.5,5.9,31.1,9.4,29.5,7.6,76.6
RS-I2,RS-I2,EEM2,93.6,4.4,6.6,31.1,9.4,29.5,7.6,76.6
RS-I2,RS-I2,EEM3,74.7,6.1,6.5,10.7,9.4,29.5,7.6,76.6
RS-I2,RS-I2,EEM4,58.7,6.6,4.7,10.7,4.0,20.4,6.4,76.6
RS-I3,RS-I3,DEFAULT,150.6,38.4,6.3,24.3,10.3,57.6,9.5,5.6
RS-I3,RS-I3,EEM1,127.6,17.1,6.6,23.6,10.3,57.6,7.8,125.1
RS-I3,RS-I3,EEM2,114.5,3.8,5.9,23.6,10.3,57.6,8.6,125.1
RS-I3,RS-I3,EEM3,99.6,5.5,5.9,6.9,10.3,57.6,8.7,125.1
RS-I3,RS-I3,EEM4,77.1,6.2,4.3,6.9,4.7,41.7,8.2,125.1
RS-I4,RS-I4,DEFAULT,111.0,24.9,6.3,32.4,9.1,25.5,8.4,5.6
RS-I4,RS-I4,EEM1,98.1,11.7,6.7,32.4,9.0,25.5,8.1,83.4
RS-I4,RS-I4,EEM2,90.2,2.8,7.8,32.4,9.0,25.5,8.1,83.4
RS-I4,RS-I4,EEM3,70.8,3.8,7.5,12.1,9.0,25.5,8.1,83.4
RS-I4,RS-I4,EEM4,55.5,4.1,5.4,12.1,3.8,17.3,6.8,83.4
RS-S,RS-S,DEFAULT,172.8,34.2,6.8,37.4,7.8,73.6,8.4,0.0
RS-S,RS-S,EEM1,160.4,21.9,7.8,36.4,7.8,73.6,8.3,90.0
RS-S,RS-S,EEM2,144.9,6.8,6.8,36.4,7.8,73.6,9.0,90.0
RS-S,RS-S,EEM3,122.8,11.2,6.8,9.7,7.8,73.6,9.1,90.0
RS-S,RS-S,EEM4,99.2,12.3,4.9,9.7,4.0,55.2,8.6,90.0
