NU,Archetype,EEM_Level,EUI,Htg,Clg,DHW,Ltg,Equip,F+P,PV
IC-DE,IC-DE,EEM4,11865.4,21.8,1357.8,1.2,21.1,9029.1,1115.2,118.7
MU-C1,MU-C1,DEFAULT,205.4,54.8,10.5,41.0,11.9,57.8,18.9,3.4
MU-C1,MU-C1,EEM1,180.8,29.2,11.9,41.0,11.8,57.8,18.5,25.7
MU-C1,MU-C1,EEM2,167.3,14.3,12.0,41.0,11.8,57.8,19.7,25.7
MU-C1,MU-C1,EEM3,138.0,19.3,12.0,6.8,11.8,57.8,19.8,25.7
MU-C1,MU-C1,EEM4,117.8,23.3,8.8,6.7,5.5,44.7,18.3,25.7
MU-C2,MU-C2,DEFAULT,136.4,33.5,5.7,33.9,8.0,39.0,9.0,2.5
MU-C2,MU-C2,EEM1,117.1,13.2,6.9,33.9,8.0,39.0,8.7,21.7
MU-C2,MU-C2,EEM2,107.7,2.9,7.5,33.9,8.0,39.0,9.1,21.7
MU-C2,MU-C2,EEM3,83.6,7.7,7.5,4.9,8.0,39.0,9.2,21.7
MU-C2,MU-C2,EEM4,59.5,9.1,4.3,5.0,3.5,23.2,7.2,21.7
MU-HC,MU-HC,DEFAULT,162.6,52.9,9.7,45.1,8.1,32.2,9.7,4.1
MU-HC,MU-HC,EEM1,152.5,40.4,11.5,45.1,8.1,32.2,10.3,47.1
MU-HC,MU-HC,EEM2,124.1,10.7,12.4,45.1,8.1,32.2,10.7,47.1
MU-HC,MU-HC,EEM3,92.3,15.5,12.3,8.4,8.1,32.2,10.8,47.1
MU-HC,MU-HC,EEM4,77.3,16.1,9.7,8.4,3.8,24.8,9.8,47.1
MU-HS,MU-HS,DEFAULT,197.8,74.7,10.5,41.0,10.1,44.4,10.5,1.9
MU-HS,MU-HS,EEM1,176.1,53.2,11.3,40.8,10.1,44.4,10.3,81.9
MU-HS,MU-HS,EEM2,135.3,11.0,12.0,40.8,10.1,44.4,10.9,81.9
MU-HS,MU-HS,EEM3,109.3,13.5,11.8,12.5,10.1,44.4,10.9,81.9
MU-HS,MU-HS,EEM4,94.1,14.3,9.6,12.5,4.9,36.0,10.6,81.9
MU-L,MU-L,DEFAULT,158.6,47.8,8.1,43.7,7.4,37.3,9.5,0.0
MU-L,MU-L,EEM1,140.9,30.2,8.9,43.6,7.3,37.3,8.7,77.3
MU-L,MU-L,EEM2,122.7,10.5,10.2,43.7,7.3,37.3,8.9,77.3
MU-L,MU-L,EEM3,94.7,12.1,9.9,14.4,7.3,37.3,8.9,77.3
MU-L,MU-L,EEM4,80.0,13.5,7.4,14.4,3.1,28.9,8.0,77.3
MU-S1,MU-S1,DEFAULT,192.7,58.2,9.3,43.5,18.1,40.7,9.8,2.8
MU-S1,MU-S1,EEM1,182.0,46.2,10.9,43.5,18.1,40.7,9.6,73.9
MU-S1,MU-S1,EEM2,150.5,14.0,10.9,43.5,18.1,40.7,10.4,73.9
MU-S1,MU-S1,EEM3,122.4,17.6,10.7,12.0,18.1,40.7,10.5,73.9
MU-S1,MU-S1,EEM4,100.2,17.6,7.2,12.0,8.4,32.5,9.6,73.9
MU-S2,MU-S2,DEFAULT,186.3,50.6,9.9,44.2,21.5,32.5,10.8,0.9
MU-S2,MU-S2,EEM1,177.2,40.6,11.5,44.1,21.5,32.5,10.0,100.2
MU-S2,MU-S2,EEM2,148.0,10.6,11.6,44.2,21.5,32.5,10.7,100.2
MU-S2,MU-S2,EEM3,121.4,13.1,11.4,15.2,21.5,32.5,10.8,100.2
MU-S2,MU-S2,EEM4,97.9,13.7,7.4,15.2,9.9,24.6,10.3,100.2
MU-U1,MU-U1,DEFAULT,119.9,28.4,5.2,28.3,7.6,35.9,8.6,2.3
MU-U1,MU-U1,EEM1,99.5,7.0,6.6,28.3,7.6,35.9,8.3,20.5
