Envelope,NU,Archetype,Metric,IAL,DEFAULT,EEM1,EEM2,EEM3,EEM4
NECB-2017,RC-D,Detached,EUI,163.9,138.6,108.2,93.1,81.0,61.1
NECB-2017,RC-D,Detached,Htg,64.9,51.7,21.7,6.5,9.2,10.9
NECB-2017,RC-D,Detached,Clg,24.8,6.3,6.8,6.2,6.3,5.0
NECB-2017,RC-D,Detached,DHW,22.1,22.1,21.7,21.7,6.6,6.6
NECB-2017,RC-D,Detached,Ltg,4.7,4.7,4.7,4.7,4.7,2.6
NECB-2017,RC-D,Detached,Equip,47.4,46.6,46.6,46.6,46.6,28.3
NECB-2017,RC-D,Detached,F+P,0.0,6.3,5.9,6.6,6.8,6.8
NECB-2017,RC-D,Detached,PV,0.0,0.0,174.5,174.5,174.5,174.5
NECB-2017,RC-T,Attached,EUI,167.0,140.0,114.0,106.5,91.8,66.7
NECB-2017,RC-T,Attached,Htg,52.5,36.3,10.4,3.2,3.2,4.9
NECB-2017,RC-T,Attached,Clg,23.7,6.3,7.2,6.5,6.5,4.7
NECB-2017,RC-T,Attached,DHW,26.9,26.9,26.1,26.1,11.2,11.2
NECB-2017,RC-T,Attached,Ltg,5.8,5.8,5.8,5.8,5.8,3.2
NECB-2017,RC-T,Attached,Equip,58.1,57.1,57.1,57.1,57.1,34.8
NECB-2017,RC-T,Attached,F+P,0.0,6.6,6.4,6.9,6.9,6.8
NECB-2017,RC-T,Attached,PV,0.0,0.0,143.2,143.2,143.2,143.2
NECB-2017,RC-ML,MidLow,EUI,165.4,139.2,111.0,99.7,86.2,63.8
NECB-2017,RC-ML,MidLow,Htg,58.8,44.2,16.2,4.9,6.3,8.0
NECB-2017,RC-ML,MidLow,Clg,24.2,6.3,7.0,6.4,6.4,4.9
NECB-2017,RC-ML,MidLow,DHW,24.5,24.4,23.8,23.8,8.9,8.9
NECB-2017,RC-ML,MidLow,Ltg,5.2,5.2,5.2,5.2,5.2,2.9
NECB-2017,RC-ML,MidLow,Equip,52.7,51.7,51.7,51.7,51.7,31.5
NECB-2017,RC-ML,MidLow,F+P,0.0,6.4,6.1,6.7,6.8,6.8
NECB-2017,RC-ML,MidLow,PV,0.0,0.0,158.9,158.9,158.9,158.9
NECB-2017,RC-R,Detached (row),EUI,163.9,137.8,107.6,93.2,81.0,61.0
NECB-2017,RC-R,Detached (row),Htg,63.9,50.7,20.7,6.2,8.9,10.6
NECB-2017,RC-R,Detached (row),Clg,25.8,6.6,7.2,6.5,6.6,5.3
NECB-2017,RC-R,Detached (row),DHW,22.1,22.1,21.7,21.7,6.6,6.6
NECB-2017,RC-R,Detached (row),Ltg,4.7,4.7,4.7,4.7,4.7,2.6
NECB-2017,RC-R,Detached (row),Equip,47.4,46.6,46.6,46.6,46.6,28.3
NECB-2017,RC-R,Detached (row),F+P,0.0,6.3,5.9,6.6,6.8,6.8
NECB-2017,RC-R,Detached (row),PV,0.0,0.0,155.5,155.5,155.5,155.5
NECB-2017,RC-HR1,HighRise,EUI,213.8,111.2,103.4,99.8,67.3,52.3
NECB-2017,RC-HR1,HighRise,Htg,38.7,18.3,8.2,2.8,6.3,7.0
NECB-2017,RC-HR1,HighRise,Clg,100.4,9.1,11.3,13.2,13.0,9.4
NECB-2017,RC-HR1,HighRise,DHW,48.2,48.2,48.2,48.2,12.1,12.1
NECB-2017,RC-HR1,HighRise,Ltg,4.3,4.3,4.3,4.3,4.3,1.7
NECB-2017,RC-HR1,HighRise,Equip,22.2,19.2,19.2,19.2,19.2,11.0
NECB-2017,RC-HR1,HighRise,F+P,0.0,9.1,9.1,9.1,9.1,7.9
NECB-2017,RC-HR1,HighRise,PV,1.9,1.9,42.2,42.2,42.2,42.2
NECB-2017,RC-HR2,HighRise,EUI,210.4,116.2,108.0,106.5,69.0,53.7
NECB-2017,RC-HR2,HighRise,Htg,41.6,18.4,6.9,3.2,9.6,10.6
NECB-2017,RC-HR2,HighRise,Clg,90.3,9.3,12.5,14.6,14.5,10.4
NECB-2017,RC-HR2,HighRise,DHW,51.8,51.8,51.8,51.8,7.8,7.9
NECB-2017,RC-HR2,HighRise,Ltg,3.9,3.9,3.9,3.9,3.9,1.5
NECB-2017,RC-HR2,HighRise,Equip,22.8,19.0,19.0,19.0,19.0,10.9
NECB-2017,RC-HR2,HighRise,F+P,0.0,9.9,10.0,10.1,10.2,8.7
NECB-2017,RC-HR2,HighRise,PV,3.3,3.3,22.7,22.7,22.7,22.7
NECB-2017,RC-MR1,MidRise,EUI,195.9,113.6,100.5,96.7,74.3,56.4
NECB-2017,RC-MR1,MidRise,Htg,38.3,21.6,7.3,2.4,2.4,3.1
NECB-2017,RC-MR1,MidRise,Clg,81.8,8.5,10.1,11.2,10.9,8.2
NECB-2017,RC-MR1,MidRise,DHW,37.8,37.8,37.3,37.3,15.2,15.2
NECB-2017,RC-MR1,MidRise,Ltg,3.3,5.1,5.1,5.1,5.1,2.3
NECB-2017,RC-MR1,MidRise,Equip,34.7,31.0,31.0,31.0,31.0,18.5
NECB-2017,RC-MR1,MidRise,F+P,0.0,7.8,7.8,7.8,7.8,7.2
NECB-2017,RC-MR1,MidRise,PV,0.0,0.0,92.4,92.4,92.4,92.4
NECB-2017,RC-MR2,MidRise,EUI,200.3,107.0,99.1,92.4,65.7,51.5
NECB-2017,RC-MR2,MidRise,Htg,38.2,20.7,11.8,3.5,3.6,3.9
NECB-2017,RC-MR2,MidRise,Clg,92.1,8.3,9.5,11.2,10.8,8.0
