NU,Archetype,EEM_Level,EUI,Htg,Clg,DHW,Ltg,Equip,F+P,PV
CC-B,CC-B,DEFAULT,138.7,49.6,1.4,18.3,14.8,34.1,6.8,3.0
CC-B,CC-B,EEM1,131.9,41.7,2.2,18.3,14.8,34.1,7.1,27.0
CC-B,CC-B,EEM2,100.2,9.5,1.8,18.3,14.8,34.1,8.0,27.0
CC-B,CC-B,EEM3,87.3,12.0,1.8,2.9,14.8,34.1,8.0,27.0
CC-B,CC-B,EEM4,65.2,12.0,1.0,2.9,6.8,22.7,6.1,27.0
CC-E1,CC-E1,DEFAULT,104.8,33.1,1.1,12.4,16.5,28.8,5.3,1.5
CC-E1,CC-E1,EEM1,99.5,27.5,1.1,12.4,16.5,28.8,5.6,24.4
CC-E1,CC-E1,EEM2,77.6,5.0,1.0,12.5,16.5,28.8,6.3,24.4
CC-E1,CC-E1,EEM3,68.1,6.2,1.0,1.8,16.5,28.8,6.3,24.4
CC-E1,CC-E1,EEM4,46.7,6.7,0.7,1.8,8.3,17.4,4.3,24.4
CC-E2,CC-E2,DEFAULT,355.6,241.1,2.9,20.9,23.0,32.6,27.3,0.9
CC-E2,CC-E2,EEM1,332.2,218.0,2.7,20.9,23.0,32.6,27.2,44.3
CC-E2,CC-E2,EEM2,151.8,34.2,2.8,21.0,23.0,32.6,30.6,44.3
CC-E2,CC-E2,EEM3,136.8,36.4,2.8,3.8,23.0,32.6,30.6,44.3
CC-E2,CC-E2,EEM4,115.3,35.6,2.2,3.8,12.8,23.7,29.5,44.3
CC-E3,CC-E3,DEFAULT,336.9,218.9,3.7,23.3,21.7,34.5,26.6,0.6
CC-E3,CC-E3,EEM1,319.2,201.4,3.7,23.3,21.7,34.5,26.4,46.7
CC-E3,CC-E3,EEM2,149.3,28.0,3.8,23.4,21.7,34.5,29.8,46.7
CC-E3,CC-E3,EEM3,132.8,29.4,3.8,5.4,21.7,34.5,29.8,46.7
CC-E3,CC-E3,EEM4,113.4,28.9,3.0,5.4,12.1,27.0,28.9,46.7
CC-FD1,CC-FD1,DEFAULT,155.2,64.9,2.6,29.2,12.7,31.0,9.2,0.2
CC-FD1,CC-FD1,EEM1,137.3,45.2,3.3,29.2,12.4,31.0,10.8,7.8
CC-FD1,CC-FD1,EEM2,100.2,6.1,3.3,29.2,12.4,31.0,12.9,7.8
CC-FD1,CC-FD1,EEM3,81.0,6.6,3.3,9.4,12.4,31.0,12.9,7.8
CC-FD1,CC-FD1,EEM4,62.0,7.4,2.5,9.4,6.2,19.6,11.5,7.8
CC-FD2,CC-FD2,DEFAULT,140.9,52.6,2.5,22.9,13.4,33.4,7.2,1.0
CC-FD2,CC-FD2,EEM1,129.5,39.7,3.1,22.9,13.3,33.4,8.3,13.7
CC-FD2,CC-FD2,EEM2,98.7,7.8,2.9,22.9,13.3,33.4,9.6,13.7
CC-FD2,CC-FD2,EEM3,83.6,8.9,2.9,6.8,13.3,33.4,9.6,13.7
CC-FD2,CC-FD2,EEM4,63.1,10.0,2.1,6.8,6.3,21.4,7.7,13.7
CC-FD3,CC-FD3,DEFAULT,163.7,67.2,3.0,29.5,13.8,34.8,8.4,0.3
CC-FD3,CC-FD3,EEM1,145.0,47.4,4.0,29.5,13.5,34.8,8.9,11.6
CC-FD3,CC-FD3,EEM2,107.3,8.2,3.9,29.5,13.5,34.8,10.5,11.6
CC-FD3,CC-FD3,EEM3,88.1,8.6,3.9,9.9,13.5,34.8,10.5,11.6
CC-FD3,CC-FD3,EEM4,67.5,9.4,2.8,9.9,6.7,23.1,8.8,11.6
CC-S1,CC-S1,DEFAULT,326.7,166.6,3.1,25.7,36.4,56.3,11.8,4.2
CC-S1,CC-S1,EEM1,292.8,129.5,6.9,25.6,36.4,56.3,10.8,112.9
CC-S1,CC-S1,EEM2,204.0,40.4,5.4,25.8,36.4,56.3,13.0,112.9
CC-S1,CC-S1,EEM3,186.9,45.0,5.4,4.0,36.4,56.3,13.1,112.9
CC-S1,CC-S1,EEM4,151.7,44.7,2.2,4.0,16.9,45.8,11.8,112.9
CC-S2,CC-S2,DEFAULT,425.2,195.0,4.9,25.6,63.6,67.6,17.8,2.7
CC-S2,CC-S2,EEM1,379.5,143.0,12.6,25.5,63.6,67.6,15.5,164.0
CC-S2,CC-S2,EEM2,275.4,39.6,9.7,25.8,63.6,67.6,18.3,164.0
CC-S2,CC-S2,EEM3,256.9,43.8,9.7,3.0,63.6,67.6,18.4,164.0
CC-S2,CC-S2,EEM4,204.3,41.7,3.4,3.0,29.5,59.5,17.0,164.0
IC-DC,IC-DC,DEFAULT,3642.6,81.0,394.1,10.5,31.8,2714.1,320.7,3.6
IC-DC,IC-DC,EEM1,3651.3,67.9,402.8,10.5,31.9,2714.4,333.3,143.6
IC-DC,IC-DC,EEM2,3613.8,29.7,402.8,10.6,31.9,2714.4,334.1,143.6
IC-DC,IC-DC,EEM3,3605.7,31.2,402.8,1.0,31.9,2714.4,334.1,143.6
IC-DC,IC-DC,EEM4,3602.4,34.0,402.5,1.0,29.2,2711.7,333.7,143.6
IC-DE,IC-DE,DEFAULT,11835.9,109.6,1250.4,13.2,24.4,9037.3,1118.6,5.3
IC-DE,IC-DE,EEM1,11841.4,90.5,1257.4,13.2,24.5,9039.8,1133.3,105.0
IC-DE,IC-DE,EEM2,11788.5,37.7,1257.4,13.3,24.5,9038.7,1134.4,105.0
IC-DE,IC-DE,EEM3,11779.4,39.9,1257.4,1.5,24.5,9038.9,1134.8,105.0
IC-DE,IC-DE,EEM4,11769.4,39.0,1257.3,1.5,21.2,9033.2,1135.0,105.0
MU-C1,MU-C1,DEFAULT,257.8,112.9,3.2,41.0,11.9,57.8,19.0,2.9
MU-C1,MU-C1,EEM1,212.1,66.6,5.1,41.0,11.9,57.8,17.6,22.5
MU-C1,MU-C1,EEM2,179.2,32.5,5.0,41.1,11.9,57.8,19.1,22.5
MU-C1,MU-C1,EEM3,150.8,37.5,4.9,7.6,11.9,57.8,19.2,22.5
MU-C1,MU-C1,EEM4,129.2,38.8,2.8,7.5,5.5,44.7,17.8,22.5
MU-C2,MU-C2,DEFAULT,174.8,76.5,1.1,33.9,8.1,39.0,9.4,2.1
MU-C2,MU-C2,EEM1,138.8,40.1,2.9,33.9,8.1,39.0,8.0,19.1
MU-C2,MU-C2,EEM2,109.1,9.7,3.0,33.9,8.1,39.0,8.5,19.1
MU-C2,MU-C2,EEM3,85.7,14.6,3.0,5.6,8.1,39.0,8.6,19.1
MU-C2,MU-C2,EEM4,65.1,17.7,1.0,5.7,3.6,23.2,7.1,19.1
MU-HC,MU-HC,DEFAULT,194.3,90.0,3.8,45.1,8.2,32.2,9.4,3.6
MU-HC,MU-HC,EEM1,181.1,75.8,4.7,45.1,8.1,32.2,9.6,41.0
MU-HC,MU-HC,EEM2,131.1,24.2,5.2,45.2,8.1,32.2,10.8,41.0
MU-HC,MU-HC,EEM3,100.0,29.2,5.1,9.2,8.1,32.2,10.9,41.0
