NU,Archetype,EEM_Level,EUI,Htg,Clg,DHW,Ltg,Equip,F+P,PV
MU-L,MU-L,DEFAULT,178.9,42.6,6.8,43.7,8.0,63.4,9.7,0.0
MU-L,MU-L,EEM1,151.2,12.0,10.0,43.6,8.0,63.4,9.5,76.4
MU-L,MU-L,EEM2,145.2,5.3,11.2,43.6,8.0,63.4,9.0,76.4
MU-L,MU-L,EEM3,118.2,6.9,10.9,15.2,8.0,63.4,9.1,76.4
MU-L,MU-L,EEM4,91.2,9.3,6.5,15.2,3.3,44.2,7.9,76.4
MU-S1,MU-S1,DEFAULT,219.9,54.4,8.9,43.5,18.6,69.3,12.1,2.8
MU-S1,MU-S1,EEM1,191.6,23.2,12.3,43.4,18.6,69.3,11.7,73.5
MU-S1,MU-S1,EEM2,175.9,7.5,12.1,43.4,18.6,69.3,11.9,73.5
MU-S1,MU-S1,EEM3,148.6,10.8,11.9,13.0,18.6,69.3,11.9,73.5
MU-S1,MU-S1,EEM4,116.8,12.3,7.2,13.0,8.6,52.2,10.4,73.5
MU-S2,MU-S2,DEFAULT,210.8,44.7,8.9,44.2,22.1,61.7,12.3,0.9
MU-S2,MU-S2,EEM1,187.6,18.0,13.2,44.0,22.1,61.7,11.7,96.0
MU-S2,MU-S2,EEM2,175.2,5.6,13.1,44.1,22.1,61.7,11.7,96.0
MU-S2,MU-S2,EEM3,149.5,8.0,12.9,16.2,22.1,61.7,11.8,96.0
MU-S2,MU-S2,EEM4,113.5,9.9,7.1,16.2,10.1,42.7,10.6,96.0
MU-U1,MU-U1,DEFAULT,154.2,24.7,7.0,28.3,7.6,64.2,12.1,2.3
MU-U1,MU-U1,EEM1,134.7,3.5,8.8,28.3,7.6,64.2,12.0,18.7
MU-U1,MU-U1,EEM2,133.4,1.0,9.7,28.3,7.6,64.2,12.1,18.7
MU-U1,MU-U1,EEM3,112.6,5.0,9.5,3.9,7.6,64.2,12.2,18.7
MU-U1,MU-U1,EEM4,86.4,6.1,6.1,3.9,3.3,46.3,10.4,18.7
MU-W,MU-W,DEFAULT,161.2,48.6,4.8,31.3,6.8,57.3,7.4,2.6
MU-W,MU-W,EEM1,130.6,16.6,6.7,31.3,6.9,57.3,7.0,81.5
MU-W,MU-W,EEM2,121.8,7.3,7.3,31.3,6.9,57.3,6.9,81.5
MU-W,MU-W,EEM3,102.2,9.0,7.1,10.1,6.9,57.3,6.9,81.5
MU-W,MU-W,EEM4,84.1,10.9,4.4,10.1,3.2,44.4,6.2,81.5
MU-W2,MU-W2,DEFAULT,135.0,60.8,2.3,13.0,7.6,41.0,5.1,9.5
MU-W2,MU-W2,EEM1,98.0,24.6,2.3,13.0,8.0,41.0,3.9,118.2
MU-W2,MU-W2,EEM2,88.2,14.4,2.3,13.0,8.0,41.0,4.3,118.2
MU-W2,MU-W2,EEM3,78.4,16.1,2.3,1.4,8.0,41.0,4.3,118.2
MU-W2,MU-W2,EEM4,70.2,18.4,1.7,1.4,3.9,35.9,3.7,118.2
CC-B,CC-B,DEFAULT,181.6,17.5,9.9,18.3,14.7,85.3,14.6,3.4
CC-B,CC-B,EEM1,174.2,7.3,11.5,18.3,14.7,85.3,15.7,29.3
CC-B,CC-B,EEM2,168.6,1.5,11.4,18.3,14.7,85.3,15.9,29.3
CC-B,CC-B,EEM3,155.8,3.8,11.4,3.2,14.7,85.3,16.0,29.3
CC-B,CC-B,EEM4,130.9,4.0,9.6,3.2,6.7,71.7,14.2,29.3
CC-S1,CC-S1,DEFAULT,259.3,62.1,9.6,25.6,36.2,83.8,13.6,4.8
CC-S1,CC-S1,EEM1,233.2,31.8,14.5,25.6,36.2,83.8,12.8,119.3
CC-S1,CC-S1,EEM2,211.5,11.4,12.4,25.6,36.2,83.8,13.5,119.3
CC-S1,CC-S1,EEM3,194.3,15.5,12.4,4.3,36.2,83.8,13.5,119.3
CC-S1,CC-S1,EEM4,158.5,18.8,7.9,4.3,16.8,69.7,12.4,119.3
CC-S2,CC-S2,DEFAULT,340.6,70.1,11.2,25.5,63.4,96.5,19.8,3.1
CC-S2,CC-S2,EEM1,311.4,33.6,20.3,25.5,63.3,96.5,17.7,172.6
CC-S2,CC-S2,EEM2,288.1,13.4,16.4,25.5,63.3,96.5,18.6,172.6
CC-S2,CC-S2,EEM3,269.8,17.2,16.4,3.3,63.3,96.5,18.6,172.6
CC-S2,CC-S2,EEM4,217.2,20.5,8.8,3.3,29.4,83.4,17.4,172.6
CC-E1,CC-E1,DEFAULT,182.9,29.1,8.4,12.4,17.0,87.6,13.7,1.7
CC-E1,CC-E1,EEM1,160.1,4.3,8.9,12.4,17.0,87.6,15.0,26.3
CC-E1,CC-E1,EEM2,157.3,1.2,9.0,12.4,17.0,87.6,15.2,26.3
CC-E1,CC-E1,EEM3,147.8,2.2,9.0,1.9,17.0,87.6,15.2,26.3
CC-E1,CC-E1,EEM4,121.2,2.4,7.7,1.9,8.6,72.7,13.1,26.3
CC-E2,CC-E2,DEFAULT,389.5,203.9,17.6,20.9,25.6,85.0,30.0,1.0
CC-E2,CC-E2,EEM1,359.0,171.0,17.9,20.9,25.7,85.0,31.9,50.0
CC-E2,CC-E2,EEM2,206.5,15.7,17.8,20.9,25.7,85.0,34.7,50.0
CC-E2,CC-E2,EEM3,191.5,17.7,17.8,4.0,25.7,85.0,34.7,50.0
CC-E2,CC-E2,EEM4,158.0,17.9,15.7,3.9,14.4,68.0,31.5,50.0
CC-E3,CC-E3,DEFAULT,376.3,187.5,18.7,23.3,24.5,87.1,28.9,0.7
CC-E3,CC-E3,EEM1,342.8,151.5,19.5,23.2,24.6,87.1,30.3,52.7
CC-E3,CC-E3,EEM2,205.4,11.6,19.5,23.2,24.6,87.1,32.9,52.7
CC-E3,CC-E3,EEM3,189.0,12.9,19.5,5.5,24.6,87.1,32.9,52.7
CC-E3,CC-E3,EEM4,157.1,13.5,16.8,5.5,13.8,70.9,30.2,52.7
CC-FD1,CC-FD1,DEFAULT,188.5,63.5,6.7,29.2,12.4,56.7,14.5,0.2
CC-FD1,CC-FD1,EEM1,140.4,11.6,8.9,29.2,12.6,56.7,15.7,8.5
CC-FD1,CC-FD1,EEM2,130.7,1.0,8.8,29.2,12.6,56.7,16.9,8.5
CC-FD1,CC-FD1,EEM3,111.6,1.4,8.8,9.5,12.6,56.7,16.9,8.5
CC-FD1,CC-FD1,EEM4,96.6,1.6,7.7,9.5,6.3,50.1,15.6,8.5
CC-FD2,CC-FD2,DEFAULT,170.2,28.5,8.8,22.9,13.2,70.2,13.3,1.2
CC-FD2,CC-FD2,EEM1,152.3,6.4,10.8,22.9,13.4,70.2,15.2,14.7
CC-FD2,CC-FD2,EEM2,147.7,1.2,10.8,22.9,13.4,70.2,15.9,14.7
CC-FD2,CC-FD2,EEM3,132.7,2.1,10.7,6.9,13.4,70.2,16.0,14.7
CC-FD2,CC-FD2,EEM4,113.4,2.3,9.3,6.9,6.4,60.6,14.6,14.7
CC-FD3,CC-FD3,DEFAULT,167.1,40.6,8.4,29.5,13.5,55.2,12.6,0.3
CC-FD3,CC-FD3,EEM1,138.4,7.9,10.8,29.5,13.7,55.2,13.9,12.2
CC-FD3,CC-FD3,EEM2,132.4,1.1,10.7,29.5,13.7,55.2,14.9,12.2
CC-FD3,CC-FD3,EEM3,113.4,1.5,10.7,10.0,13.7,55.2,14.9,12.2
CC-FD3,CC-FD3,EEM4,97.3,1.8,9.2,9.9,6.8,48.3,13.8,12.2
RC-MR1,RC-MR1,DEFAULT,123.3,16.2,7.7,37.7,5.7,46.3,7.7,0.0
RC-MR1,RC-MR1,EEM1,112.4,1.5,11.2,37.3,5.7,46.3,8.5,73.1
RC-MR1,RC-MR1,EEM2,111.6,0.4,12.2,37.3,5.7,46.3,7.8,73.1
RC-MR1,RC-MR1,EEM3,89.7,0.4,11.9,15.6,5.7,46.3,7.8,73.1
RC-MR1,RC-MR1,EEM4,60.4,1.3,7.3,15.6,2.6,25.0,6.8,73.1
RC-MR2,RC-MR2,DEFAULT,137.7,30.0,6.5,43.6,5.6,41.5,8.2,0.0
RC-MR2,RC-MR2,EEM1,113.8,1.8,10.4,43.5,5.6,41.5,8.6,66.3
RC-MR2,RC-MR2,EEM2,113.0,0.5,11.9,43.5,5.6,41.5,7.7,66.3
RC-MR2,RC-MR2,EEM3,87.1,0.6,11.6,17.9,5.6,41.5,7.7,66.3
RC-MR2,RC-MR2,EEM4,58.3,2.1,6.5,17.9,2.3,20.7,6.6,66.3
RC-MR3,RC-MR3,DEFAULT,137.9,30.4,6.3,43.6,5.6,41.5,8.1,0.0
RC-MR3,RC-MR3,EEM1,113.4,2.0,10.1,43.5,5.6,41.5,8.5,66.3
RC-MR3,RC-MR3,EEM2,112.5,0.6,11.5,43.5,5.6,41.5,7.6,66.3
RC-MR3,RC-MR3,EEM3,86.7,0.6,11.2,17.9,5.6,41.5,7.6,66.3
RC-MR3,RC-MR3,EEM4,58.0,2.2,6.1,17.9,2.3,20.7,6.5,66.3
RC-D,RC-D,DEFAULT,131.7,45.5,5.9,22.1,4.7,46.6,6.1,0.0
RC-D,RC-D,EEM1,103.8,17.7,6.6,21.7,4.7,46.6,5.7,97.2
RC-D,RC-D,EEM2,90.9,4.9,5.9,21.7,4.7,46.6,6.3,97.2
RC-D,RC-D,EEM3,78.7,7.6,5.9,6.6,4.7,46.6,6.5,97.2
RC-D,RC-D,EEM4,58.6,9.0,4.7,6.6,2.6,28.3,6.5,97.2
RC-ML,RC-ML,DEFAULT,133.5,38.9,5.9,24.5,5.2,51.7,6.3,0.0
RC-ML,RC-ML,EEM1,107.6,13.0,6.8,23.8,5.2,51.7,6.0,89.4
