NU,Archetype,EEM_Level,EUI,Htg,Clg,DHW,Ltg,Equip,F+P,PV
CC-B,CC-B,DEFAULT,131.7,37.9,4.3,18.3,14.7,34.1,7.9,3.3
CC-B,CC-B,EEM1,122.4,27.2,5.3,18.3,14.7,34.1,8.4,30.3
CC-B,CC-B,EEM2,101.5,5.9,4.9,18.3,14.7,34.1,9.2,30.3
CC-B,CC-B,EEM3,88.4,8.5,4.9,2.6,14.7,34.1,9.2,30.3
CC-B,CC-B,EEM4,66.3,9.0,3.6,2.7,6.7,22.7,7.2,30.3
CC-E1,CC-E1,DEFAULT,104.1,27.2,3.8,12.4,16.4,28.8,7.0,1.6
CC-E1,CC-E1,EEM1,94.0,16.2,3.9,12.4,16.4,28.8,7.8,27.7
CC-E1,CC-E1,EEM2,81.2,3.0,3.8,12.4,16.4,28.8,8.3,27.7
CC-E1,CC-E1,EEM3,71.6,4.1,3.8,1.7,16.4,28.8,8.3,27.7
CC-E1,CC-E1,EEM4,49.3,5.0,2.8,1.7,8.3,17.4,5.8,27.7
CC-E2,CC-E2,DEFAULT,322.7,200.0,10.7,20.9,22.9,32.6,28.4,1.0
CC-E2,CC-E2,EEM1,300.1,177.9,10.3,20.9,23.0,32.6,28.1,50.1
CC-E2,CC-E2,EEM2,148.3,22.8,10.4,21.0,23.0,32.6,31.3,50.1
CC-E2,CC-E2,EEM3,133.0,24.9,10.3,3.6,23.0,32.6,31.4,50.1
CC-E2,CC-E2,EEM4,111.0,24.7,8.9,3.6,12.8,23.7,30.1,50.1
CC-E3,CC-E3,DEFAULT,307.0,181.1,11.6,23.3,21.6,34.5,27.4,0.7
CC-E3,CC-E3,EEM1,286.8,161.2,11.3,23.3,21.6,34.5,27.3,53.2
CC-E3,CC-E3,EEM2,146.3,17.5,11.6,23.3,21.6,34.5,30.3,53.2
CC-E3,CC-E3,EEM3,129.5,18.9,11.5,5.2,21.6,34.5,30.3,53.2
CC-E3,CC-E3,EEM4,109.5,18.6,10.0,5.2,12.0,27.0,29.1,53.2
CC-FD1,CC-FD1,DEFAULT,141.2,47.8,5.2,29.2,12.2,31.0,10.1,0.2
CC-FD1,CC-FD1,EEM1,122.3,25.1,6.6,29.2,12.3,31.0,12.4,8.8
CC-FD1,CC-FD1,EEM2,102.0,3.2,6.6,29.2,12.3,31.0,14.1,8.8
CC-FD1,CC-FD1,EEM3,82.3,3.7,6.6,9.1,12.3,31.0,14.1,8.8
CC-FD1,CC-FD1,EEM4,62.6,4.1,5.4,9.1,6.1,19.6,12.7,8.8
CC-FD2,CC-FD2,DEFAULT,131.0,38.6,5.3,22.9,13.1,33.4,8.2,1.1
CC-FD2,CC-FD2,EEM1,117.7,22.2,6.3,22.9,13.2,33.4,10.2,15.4
CC-FD2,CC-FD2,EEM2,100.8,4.5,6.2,22.9,13.2,33.4,11.2,15.4
CC-FD2,CC-FD2,EEM3,85.4,5.5,6.2,6.5,13.2,33.4,11.3,15.4
CC-FD2,CC-FD2,EEM4,63.4,6.2,4.8,6.5,6.3,21.4,8.9,15.4
CC-FD3,CC-FD3,DEFAULT,148.3,48.1,6.1,29.5,13.3,34.8,9.3,0.3
CC-FD3,CC-FD3,EEM1,129.4,26.2,7.7,29.5,13.5,34.8,10.6,13.2
CC-FD3,CC-FD3,EEM2,108.6,4.3,7.6,29.5,13.5,34.8,11.8,13.2
CC-FD3,CC-FD3,EEM3,89.1,4.7,7.6,9.5,13.5,34.8,11.8,13.2
CC-FD3,CC-FD3,EEM4,67.7,5.4,6.0,9.5,6.7,23.1,9.7,13.2
