zone,building_id,building_type,standard,env_flag,hvac_flag,dhw_flag,eem4_flag,scenario_tag,EUI_total_kWh_m2,EUI_heating_kWh_m2,EUI_cooling_kWh_m2,EUI_DHW_kWh_m2,EUI_lights_kWh_m2,EUI_equip_kWh_m2,EUI_fans_pumps_kWh_m2,PV_gen_kWh_m2,pv_track,n_severes,n_warnings,idf_path,output_path
Z4,CC-B,CC-B,CAN_Z4,1,1,1,1,EEM_J_ENV_HVAC_DHW_EEM4,60.0977,4.4688,2.8834,2.56,6.7044,22.721,6.7637,26.8526,tier3,11,2937,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-B\CC-B_EEM_J_ENV_HVAC_DHW_EEM4_20260707_165618\CC-B_EEM_J_ENV_HVAC_DHW_EEM4_20260707_165618.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-B\CC-B_EEM_J_ENV_HVAC_DHW_EEM4_20260707_165618\results
Z4,CC-B,CC-B,CAN_Z4,1,1,0,1,EEM_J_ENV_HVAC_EEM4,73.3744,2.0446,2.8825,18.2979,6.7044,22.721,6.7291,26.8526,tier3,11,2778,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-B\CC-B_EEM_J_ENV_HVAC_EEM4_20260707_165559\CC-B_EEM_J_ENV_HVAC_EEM4_20260707_165559.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-B\CC-B_EEM_J_ENV_HVAC_EEM4_20260707_165559\results
Z4,CC-B,CC-B,CAN_Z4,0,1,1,0,EEM_J_HVAC_DHW,81.5971,5.3955,2.9202,2.5677,14.7786,34.0822,7.8511,26.8529,tier3,6,2828,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-B\CC-B_EEM_J_HVAC_DHW_20260707_165513\CC-B_EEM_J_HVAC_DHW_20260707_165513.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-B\CC-B_EEM_J_HVAC_DHW_20260707_165513\results
Z4,CC-B,CC-B,CAN_Z4,0,1,1,1,EEM_J_HVAC_DHW_EEM4,60.3387,6.2101,2.0493,2.565,6.7638,22.721,6.0973,26.8529,tier3,10,2921,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-B\CC-B_EEM_J_HVAC_DHW_EEM4_20260707_165609\CC-B_EEM_J_HVAC_DHW_EEM4_20260707_165609.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-B\CC-B_EEM_J_HVAC_DHW_EEM4_20260707_165609\results
Z4,CC-B,CC-B,CAN_Z4,0,1,0,0,EEM_J_HVAC_ONLY,94.8759,2.9747,2.9253,18.2976,14.7786,34.0822,7.8174,26.8529,tier3,6,2663,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-B\CC-B_EEM_J_HVAC_ONLY_20260707_165424\CC-B_EEM_J_HVAC_ONLY_20260707_165424.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-B\CC-B_EEM_J_HVAC_ONLY_20260707_165424\results
Z4,CC-B,CC-B,CAN_Z4,0,1,0,1,EEM_J_HVAC_ONLY_EEM4,73.608,3.7851,2.0482,18.3008,6.7638,22.721,6.0585,26.8529,tier3,10,2761,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-B\CC-B_EEM_J_HVAC_ONLY_EEM4_20260707_165537\CC-B_EEM_J_HVAC_ONLY_EEM4_20260707_165537.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-B\CC-B_EEM_J_HVAC_ONLY_EEM4_20260707_165537\results
Z4,CC-E1,CC-E1,CAN_Z4,0,0,0,0,EEM_J_DEFAULT,83.9689,8.8282,2.8641,12.4211,16.4573,28.8029,6.553,1.5506,native,23,1570,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E1\CC-E1_EEM_J_DEFAULT_20260707_170227\CC-E1_EEM_J_DEFAULT_20260707_170227.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E1\CC-E1_EEM_J_DEFAULT_20260707_170227\results
Z4,CC-E1,CC-E1,CAN_Z4,0,0,1,0,EEM_J_DHW_ONLY,74.6033,9.9959,2.7584,1.6583,16.4568,28.8029,6.9035,25.3868,tier3,23,1893,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E1\CC-E1_EEM_J_DHW_ONLY_20260707_170238\CC-E1_EEM_J_DHW_ONLY_20260707_170238.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E1\CC-E1_EEM_J_DHW_ONLY_20260707_170238\results
Z4,CC-E1,CC-E1,CAN_Z4,1,0,0,0,EEM_J_ENVELOPE,82.1696,5.3582,3.1515,12.417,16.4457,28.8029,7.8854,25.3868,tier3,71,1648,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E1\CC-E1_EEM_J_ENVELOPE_20260707_170231\CC-E1_EEM_J_ENVELOPE_20260707_170231.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E1\CC-E1_EEM_J_ENVELOPE_20260707_170231\results
Z4,CC-E1,CC-E1,CAN_Z4,1,0,0,1,EEM_J_ENVELOPE_EEM4,60.0931,6.3676,2.3786,12.4228,8.3219,17.367,5.1551,25.3868,tier3,82,3128,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E1\CC-E1_EEM_J_ENVELOPE_EEM4_20260707_170311\CC-E1_EEM_J_ENVELOPE_EEM4_20260707_170311.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E1\CC-E1_EEM_J_ENVELOPE_EEM4_20260707_170311\results
Z4,CC-E1,CC-E1,CAN_Z4,1,0,1,0,EEM_J_ENV_DHW,72.4845,6.4428,3.1427,1.6495,16.4457,28.8029,7.8881,25.3868,tier3,89,1964,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E1\CC-E1_EEM_J_ENV_DHW_20260707_170258\CC-E1_EEM_J_ENV_DHW_20260707_170258.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E1\CC-E1_EEM_J_ENV_DHW_20260707_170258\results
Z4,CC-E1,CC-E1,CAN_Z4,1,0,1,1,EEM_J_ENV_DHW_EEM4,50.4216,7.4543,2.3736,1.6572,8.3219,17.367,5.1635,25.3868,tier3,78,3440,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E1\CC-E1_EEM_J_ENV_DHW_EEM4_20260707_170417\CC-E1_EEM_J_ENV_DHW_EEM4_20260707_170417.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E1\CC-E1_EEM_J_ENV_DHW_EEM4_20260707_170417\results
Z4,CC-E1,CC-E1,CAN_Z4,1,1,0,0,EEM_J_ENV_HVAC,78.2675,1.2622,3.1576,12.4181,16.4457,28.8029,8.0712,25.3868,tier3,96,1679,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E1\CC-E1_EEM_J_ENV_HVAC_20260707_170258\CC-E1_EEM_J_ENV_HVAC_20260707_170258.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E1\CC-E1_EEM_J_ENV_HVAC_20260707_170258\results
Z4,CC-E1,CC-E1,CAN_Z4,1,1,1,0,EEM_J_ENV_HVAC_DHW,68.5827,2.3506,3.1466,1.6525,16.4457,28.8029,8.0711,25.3868,tier3,85,1991,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E1\CC-E1_EEM_J_ENV_HVAC_DHW_20260707_170301\CC-E1_EEM_J_ENV_HVAC_DHW_20260707_170301.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E1\CC-E1_EEM_J_ENV_HVAC_DHW_20260707_170301\results
