zone,NU,building_type,Baseline,EEM1,EEM2,EEM3,EEM4
Z4,RS-I1,RS-I1,3.3,100.6,100.6,100.6,100.6
Z4,RS-S,RS-S,0.0,90.0,90.0,90.0,90.0
Z4,RS-I2,RS-I2,5.7,76.6,76.6,76.6,76.6
Z4,RS-I3,RS-I3,5.6,125.1,125.1,125.1,125.1
Z4,RS-I4,RS-I4,5.6,83.4,83.4,83.4,83.4
Z4,RC-HR1,RC-HR1,1.7,41.9,41.9,41.9,41.9
Z4,RC-HR2,RC-HR2,3.1,26.0,26.0,26.0,26.0
Z4,RC-MR1,RC-MR1,0.0,68.8,68.8,68.8,68.8
Z4,RC-MR2,RC-MR2,0.0,61.7,61.7,61.7,61.7
Z4,RC-MR3,RC-MR3,0.0,61.7,61.7,61.7,61.7
Z4,RC-D,RC-D,0.0,93.8,93.8,93.8,93.8
Z4,RC-ML,RC-ML,0.0,86.0,86.0,86.0,86.0
Z4,RC-T,RC-T,0.0,78.1,78.1,78.1,78.1
Z4,RC-R,RC-R,0.0,83.6,83.6,83.6,83.6
Z4,IC-DC,IC-DC,3.8,145.6,145.6,145.6,145.6
Z4,IC-DE,IC-DE,5.7,104.5,104.5,104.5,104.5
Z4,MU-C1,MU-C1,3.1,22.7,22.7,22.7,22.7
Z4,MU-C2,MU-C2,2.3,19.6,19.6,19.6,19.6
Z4,MU-HC,MU-HC,3.8,42.4,42.4,42.4,42.4
Z4,MU-HS,MU-HS,1.7,75.7,75.7,75.7,75.7
Z4,MU-L,MU-L,0.0,71.5,71.5,71.5,71.5
Z4,MU-S1,MU-S1,2.5,69.6,69.6,69.6,69.6
Z4,MU-S2,MU-S2,0.8,91.6,91.6,91.6,91.6
Z4,MU-U1,MU-U1,2.1,18.5,18.5,18.5,18.5
Z4,MU-W,MU-W,2.4,72.9,72.9,72.9,72.9
Z4,MU-W2,MU-W2,8.8,103.7,103.7,103.7,103.7
Z4,CC-B,CC-B,3.2,26.9,26.9,26.9,26.9
Z4,CC-S1,CC-S1,4.4,116.5,116.5,116.5,116.5
Z4,CC-S2,CC-S2,2.9,168.5,168.5,168.5,168.5
Z4,CC-E1,CC-E1,1.6,25.4,25.4,25.4,25.4
Z4,CC-E2,CC-E2,0.9,45.7,45.7,45.7,45.7
Z4,CC-E3,CC-E3,0.6,48.8,48.8,48.8,48.8
Z4,CC-FD1,CC-FD1,0.2,8.0,8.0,8.0,8.0
Z4,CC-FD2,CC-FD2,1.1,14.0,14.0,14.0,14.0
Z4,CC-FD3,CC-FD3,0.3,12.0,12.0,12.0,12.0
Z5,RS-I1,RS-I1,3.6,110.3,110.3,110.3,110.3
Z5,RS-S,RS-S,0.0,97.8,97.8,97.8,97.8
Z5,RS-I2,RS-I2,6.4,85.2,85.2,85.2,85.2
Z5,RS-I3,RS-I3,6.3,136.0,136.0,136.0,136.0
Z5,RS-I4,RS-I4,6.3,91.8,91.8,91.8,91.8
Z5,RC-HR1,RC-HR1,1.9,46.2,46.2,46.2,46.2
Z5,RC-HR2,RC-HR2,3.4,28.1,28.1,28.1,28.1
Z5,RC-MR1,RC-MR1,0.0,76.1,76.1,76.1,76.1
Z5,RC-MR2,RC-MR2,0.0,68.6,68.6,68.6,68.6
Z5,RC-MR3,RC-MR3,0.0,68.6,68.6,68.6,68.6
Z5,RC-D,RC-D,0.0,101.4,101.4,101.4,101.4
Z5,RC-ML,RC-ML,0.0,93.6,93.6,93.6,93.6
Z5,RC-T,RC-T,0.0,85.7,85.7,85.7,85.7
Z5,RC-R,RC-R,0.0,91.2,91.2,91.2,91.2
Z5,IC-DC,IC-DC,4.2,163.9,163.9,163.9,163.9
Z5,IC-DE,IC-DE,6.4,119.5,119.5,119.5,119.5
Z5,MU-C1,MU-C1,3.5,26.0,26.0,26.0,26.0
Z5,MU-C2,MU-C2,2.5,21.4,21.4,21.4,21.4
Z5,MU-HC,MU-HC,4.3,48.0,48.0,48.0,48.0
Z5,MU-HS,MU-HS,1.9,82.6,82.6,82.6,82.6
Z5,MU-L,MU-L,0.0,79.3,79.3,79.3,79.3
Z5,MU-S1,MU-S1,2.9,75.9,75.9,75.9,75.9
Z5,MU-S2,MU-S2,0.9,101.1,101.1,101.1,101.1
Z5,MU-U1,MU-U1,2.3,20.1,20.1,20.1,20.1
Z5,MU-W,MU-W,2.7,82.3,82.3,82.3,82.3
Z5,MU-W2,MU-W2,9.9,121.7,121.7,121.7,121.7
Z5,CC-B,CC-B,3.5,30.8,30.8,30.8,30.8
Z5,CC-S1,CC-S1,5.0,127.2,127.2,127.2,127.2
Z5,CC-S2,CC-S2,3.2,183.9,183.9,183.9,183.9
Z5,CC-E1,CC-E1,1.7,27.9,27.9,27.9,27.9
Z5,CC-E2,CC-E2,1.1,51.9,51.9,51.9,51.9
Z5,CC-E3,CC-E3,0.7,55.0,55.0,55.0,55.0
Z5,CC-FD1,CC-FD1,0.2,8.9,8.9,8.9,8.9
Z5,CC-FD2,CC-FD2,1.2,15.5,15.5,15.5,15.5
Z5,CC-FD3,CC-FD3,0.4,13.1,13.1,13.1,13.1
Z6,RS-I1,RS-I1,3.5,109.8,109.8,109.8,109.8
Z6,RS-S,RS-S,0.0,97.1,97.1,97.1,97.1
Z6,RS-I2,RS-I2,6.2,84.4,84.4,84.4,84.4
Z6,RS-I3,RS-I3,6.1,137.0,137.0,137.0,137.0
Z6,RS-I4,RS-I4,6.1,91.3,91.3,91.3,91.3
Z6,RC-HR1,RC-HR1,1.9,45.8,45.8,45.8,45.8
Z6,RC-HR2,RC-HR2,3.3,28.8,28.8,28.8,28.8
Z6,RC-MR1,RC-MR1,0.0,74.6,74.6,74.6,74.6
Z6,RC-MR2,RC-MR2,0.0,66.8,66.8,66.8,66.8
Z6,RC-MR3,RC-MR3,0.0,66.8,66.8,66.8,66.8
Z6,RC-D,RC-D,0.0,100.7,100.7,100.7,100.7
Z6,RC-ML,RC-ML,0.0,93.0,93.0,93.0,93.0
Z6,RC-T,RC-T,0.0,85.2,85.2,85.2,85.2
Z6,RC-R,RC-R,0.0,90.5,90.5,90.5,90.5
Z6,IC-DC,IC-DC,4.1,163.5,163.5,163.5,163.5
Z6,IC-DE,IC-DE,6.2,118.7,118.7,118.7,118.7
Z6,MU-C1,MU-C1,3.4,25.7,25.7,25.7,25.7
Z6,MU-C2,MU-C2,2.5,21.7,21.7,21.7,21.7
Z6,MU-HC,MU-HC,4.1,47.1,47.1,47.1,47.1
Z6,MU-HS,MU-HS,1.9,81.9,81.9,81.9,81.9
Z6,MU-L,MU-L,0.0,77.3,77.3,77.3,77.3
Z6,MU-S1,MU-S1,2.8,73.9,73.9,73.9,73.9
Z6,MU-S2,MU-S2,0.9,100.2,100.2,100.2,100.2
Z6,MU-U1,MU-U1,2.3,20.5,20.5,20.5,20.5
Z6,MU-W,MU-W,2.6,78.1,78.1,78.1,78.1
Z6,MU-W2,MU-W2,9.6,118.5,118.5,118.5,118.5
Z6,CC-B,CC-B,3.4,30.5,30.5,30.5,30.5
Z6,CC-S1,CC-S1,4.8,128.1,128.1,128.1,128.1
Z6,CC-S2,CC-S2,3.1,185.5,185.5,185.5,185.5
Z6,CC-E1,CC-E1,1.7,28.0,28.0,28.0,28.0
Z6,CC-E2,CC-E2,1.0,51.2,51.2,51.2,51.2
Z6,CC-E3,CC-E3,0.7,54.4,54.4,54.4,54.4
Z6,CC-FD1,CC-FD1,0.2,8.9,8.9,8.9,8.9
Z6,CC-FD2,CC-FD2,1.2,15.5,15.5,15.5,15.5
Z6,CC-FD3,CC-FD3,0.3,13.2,13.2,13.2,13.2
Z7A,RS-I1,RS-I1,3.4,107.8,107.8,107.8,107.8
Z7A,RS-S,RS-S,0.0,94.8,94.8,94.8,94.8
Z7A,RS-I2,RS-I2,5.9,82.6,82.6,82.6,82.6
Z7A,RS-I3,RS-I3,5.8,136.3,136.3,136.3,136.3
Z7A,RS-I4,RS-I4,5.8,89.4,89.4,89.4,89.4
Z7A,RC-HR1,RC-HR1,1.8,44.6,44.6,44.6,44.6
Z7A,RC-HR2,RC-HR2,3.2,29.5,29.5,29.5,29.5
Z7A,RC-MR1,RC-MR1,0.0,71.7,71.7,71.7,71.7
Z7A,RC-MR2,RC-MR2,0.0,63.4,63.4,63.4,63.4
Z7A,RC-MR3,RC-MR3,0.0,63.4,63.4,63.4,63.4
Z7A,RC-D,RC-D,0.0,98.9,98.9,98.9,98.9
Z7A,RC-ML,RC-ML,0.0,91.3,91.3,91.3,91.3
Z7A,RC-T,RC-T,0.0,83.6,83.6,83.6,83.6
Z7A,RC-R,RC-R,0.0,88.7,88.7,88.7,88.7
Z7A,IC-DC,IC-DC,3.9,162.3,162.3,162.3,162.3
Z7A,IC-DE,IC-DE,5.9,118.0,118.0,118.0,118.0
Z7A,MU-C1,MU-C1,3.2,25.3,25.3,25.3,25.3
Z7A,MU-C2,MU-C2,2.3,21.7,21.7,21.7,21.7
Z7A,MU-HC,MU-HC,3.9,45.9,45.9,45.9,45.9
Z7A,MU-HS,MU-HS,1.8,79.5,79.5,79.5,79.5
Z7A,MU-L,MU-L,0.0,73.7,73.7,73.7,73.7
Z7A,MU-S1,MU-S1,2.6,69.6,69.6,69.6,69.6
Z7A,MU-S2,MU-S2,0.9,97.8,97.8,97.8,97.8
Z7A,MU-U1,MU-U1,2.2,20.7,20.7,20.7,20.7
Z7A,MU-W,MU-W,2.5,72.3,72.3,72.3,72.3
Z7A,MU-W2,MU-W2,9.1,115.3,115.3,115.3,115.3
Z7A,CC-B,CC-B,3.3,30.3,30.3,30.3,30.3
Z7A,CC-S1,CC-S1,4.6,127.4,127.4,127.4,127.4
Z7A,CC-S2,CC-S2,3.0,184.7,184.7,184.7,184.7
Z7A,CC-E1,CC-E1,1.6,27.7,27.7,27.7,27.7
Z7A,CC-E2,CC-E2,1.0,50.1,50.1,50.1,50.1
Z7A,CC-E3,CC-E3,0.7,53.2,53.2,53.2,53.2
Z7A,CC-FD1,CC-FD1,0.2,8.8,8.8,8.8,8.8
Z7A,CC-FD2,CC-FD2,1.1,15.4,15.4,15.4,15.4
Z7A,CC-FD3,CC-FD3,0.3,13.2,13.2,13.2,13.2
Z7B,RS-I1,RS-I1,2.8,93.0,93.0,93.0,93.0
Z7B,RS-S,RS-S,0.0,82.0,82.0,82.0,82.0
Z7B,RS-I2,RS-I2,4.9,70.7,70.7,70.7,70.7
Z7B,RS-I3,RS-I3,4.9,118.4,118.4,118.4,118.4
Z7B,RS-I4,RS-I4,4.9,76.8,76.8,76.8,76.8
Z7B,RC-HR1,RC-HR1,1.5,38.1,38.1,38.1,38.1
Z7B,RC-HR2,RC-HR2,2.7,25.9,25.9,25.9,25.9
Z7B,RC-MR1,RC-MR1,0.0,61.1,61.1,61.1,61.1
Z7B,RC-MR2,RC-MR2,0.0,53.4,53.4,53.4,53.4
Z7B,RC-MR3,RC-MR3,0.0,53.4,53.4,53.4,53.4
Z7B,RC-D,RC-D,0.0,87.3,87.3,87.3,87.3
Z7B,RC-ML,RC-ML,0.0,79.7,79.7,79.7,79.7
Z7B,RC-T,RC-T,0.0,72.0,72.0,72.0,72.0
Z7B,RC-R,RC-R,0.0,77.2,77.2,77.2,77.2
Z7B,IC-DC,IC-DC,3.3,139.4,139.4,139.4,139.4
Z7B,IC-DE,IC-DE,4.9,101.2,101.2,101.2,101.2
Z7B,MU-C1,MU-C1,2.7,21.6,21.6,21.6,21.6
Z7B,MU-C2,MU-C2,2.0,18.8,18.8,18.8,18.8
Z7B,MU-HC,MU-HC,,38.9,38.9,38.9,38.9
Z7B,MU-HS,MU-HS,1.5,68.1,68.1,68.1,68.1
Z7B,MU-L,MU-L,0.0,62.3,62.3,62.3,62.3
Z7B,MU-S1,MU-S1,2.2,59.0,59.0,59.0,59.0
Z7B,MU-S2,MU-S2,0.7,83.6,83.6,83.6,83.6
Z7B,MU-U1,MU-U1,1.8,18.0,18.0,18.0,18.0
Z7B,MU-W,MU-W,2.1,60.7,60.7,60.7,60.7
Z7B,MU-W2,MU-W2,7.6,97.6,97.6,97.6,97.6
Z7B,CC-B,CC-B,2.7,26.0,26.0,26.0,26.0
Z7B,CC-S1,CC-S1,3.8,110.4,110.4,110.4,110.4
Z7B,CC-S2,CC-S2,2.5,160.2,160.2,160.2,160.2
Z7B,CC-E1,CC-E1,1.3,23.9,23.9,23.9,23.9
Z7B,CC-E2,CC-E2,0.8,42.6,42.6,42.6,42.6
Z7B,CC-E3,CC-E3,0.6,45.1,45.1,45.1,45.1
Z7B,CC-FD1,CC-FD1,0.2,7.6,7.6,7.6,7.6
Z7B,CC-FD2,CC-FD2,0.9,13.2,13.2,13.2,13.2
Z7B,CC-FD3,CC-FD3,0.3,11.4,11.4,11.4,11.4
Z8,RS-I1,RS-I1,3.1,95.8,95.8,95.8,95.8
Z8,RS-S,RS-S,0.0,84.8,84.8,84.8,84.8
Z8,RS-I2,RS-I2,5.3,73.3,73.3,73.3,73.3
Z8,RS-I3,RS-I3,5.3,120.9,120.9,120.9,120.9
Z8,RS-I4,RS-I4,5.3,79.3,79.3,79.3,79.3
Z8,RC-HR1,RC-HR1,1.6,40.1,40.1,40.1,40.1
Z8,RC-HR2,RC-HR2,2.9,27.0,27.0,27.0,27.0
Z8,RC-MR1,RC-MR1,0.0,63.6,63.6,63.6,63.6
Z8,RC-MR2,RC-MR2,0.0,56.0,56.0,56.0,56.0
Z8,RC-MR3,RC-MR3,0.0,56.0,56.0,56.0,56.0
Z8,RC-D,RC-D,0.0,89.3,89.3,89.3,89.3
Z8,RC-ML,RC-ML,0.0,81.6,81.6,81.6,81.6
Z8,RC-T,RC-T,0.0,73.8,73.8,73.8,73.8
Z8,RC-R,RC-R,0.0,79.2,79.2,79.2,79.2
Z8,IC-DC,IC-DC,3.6,143.6,143.6,143.6,143.6
Z8,IC-DE,IC-DE,5.3,105.0,105.0,105.0,105.0
Z8,MU-C1,MU-C1,2.9,22.5,22.5,22.5,22.5
Z8,MU-C2,MU-C2,2.1,19.1,19.1,19.1,19.1
Z8,MU-HC,MU-HC,3.6,41.0,41.0,41.0,41.0
Z8,MU-HS,MU-HS,1.6,70.7,70.7,70.7,70.7
Z8,MU-L,MU-L,0.0,65.8,65.8,65.8,65.8
Z8,MU-S1,MU-S1,2.4,63.0,63.0,63.0,63.0
Z8,MU-S2,MU-S2,0.8,86.4,86.4,86.4,86.4
Z8,MU-U1,MU-U1,2.0,18.2,18.2,18.2,18.2
Z8,MU-W,MU-W,2.3,67.0,67.0,67.0,67.0
Z8,MU-W2,MU-W2,8.3,103.4,103.4,103.4,103.4
Z8,CC-B,CC-B,3.0,27.0,27.0,27.0,27.0
Z8,CC-S1,CC-S1,4.2,112.9,112.9,112.9,112.9
Z8,CC-S2,CC-S2,2.7,164.0,164.0,164.0,164.0
Z8,CC-E1,CC-E1,1.5,24.4,24.4,24.4,24.4
Z8,CC-E2,CC-E2,0.9,44.3,44.3,44.3,44.3
Z8,CC-E3,CC-E3,0.6,46.7,46.7,46.7,46.7
Z8,CC-FD1,CC-FD1,0.2,7.8,7.8,7.8,7.8
Z8,CC-FD2,CC-FD2,1.0,13.7,13.7,13.7,13.7
Z8,CC-FD3,CC-FD3,0.3,11.6,11.6,11.6,11.6
CAN_MTL,RC-HR1,RC-HR1,1.9,42.2,42.2,42.2,42.2
CAN_MTL,RC-HR2,RC-HR2,3.3,22.7,22.7,22.7,22.7
CAN_MTL,RC-MR1,RC-MR1,0.0,92.4,92.4,92.4,92.4
CAN_MTL,RC-MR2,RC-MR2,0.0,66.8,66.8,66.8,66.8
CAN_MTL,RC-MR3,RC-MR3,0.0,66.8,66.8,66.8,66.8
CAN_MTL,RC-D,RC-D,0.0,174.5,174.5,174.5,174.5
CAN_MTL,RC-ML,RC-ML,0.0,158.9,158.9,158.9,158.9
CAN_MTL,RC-T,RC-T,0.0,143.2,143.2,143.2,143.2
CAN_MTL,RC-R,RC-R,0.0,155.5,155.5,155.5,155.5
